action	Acción
g_show_ok_bubble	Ok en modo prueba
g_show_step_bubble	Mostrar leyenda de paso
g_show_mouse	Mostrar ratón
g_close_link	Texto del enlace concurrente (Cerrar)
hotkey	Tecla de método abreviado
show_hl_p	Resaltar en práctica
show_hl_d	Resaltar en demo
gendoc	Generar documento Word
gendoc_checklist	Generar documento Word (Ayuda trabajo)
gendoc_tables	Generar documento Word (Documentación práctica)
gendoc_tables_wide	Generar documento Word (Página prueba)
gendoc_work	Generar documento Word (Documento de trabajo)
general_action	Clic en enlace
key_press	Pulsación de tecla
key_name	Código de tecla
key_desc	Nombre de tecla
click_SAP	Clic en enlace del menú SAP EA
genhtml	Generar documento HTML
global	Global
hinweis	Aviso
imagesize	Tamaño del imagen (%)
info	Información
input_radio	casilla de selección Radio/Checkbox
kurs	Encabezado
lclick	Clic izquierdo
ldblclick	Doble clic izquierdo
genppt	Generar documento PowerPoint
doc_caption	Subtítulo
doc_title	Título
merge_selected_newpages	Juntar macros seleccionados pagina nueva
new_step	Nombre del paso
new_window	Nueva ventana
new_window_close	Cerrar nueva ventana
new_page	Nueva página
identity	Identidad
next_page	Proxima página
note	Comentario
no_image	<ningún icono>
orientation	Alineación demo
doc_arrow_orientation	Alineación
doc_marker_orientation	Alineación de señalización
orientation_any	Alineación
bubble_orientation_p	Alineación leyenda
orientation_p	Alineación leyenda práctica
orientation_b	Alineación leyenda demo
page_break	Salto de página
position	Posición
position_af	Posición botón afirmación
position_bubble	Posición leyenda
position_b	Posición leyenda demo
position_bu	Posición leyenda
position_h	Posición objeto
position_tc	Posición código de operación
possible_points	Puntuación máxima
mastery_score	Puntuación necesaria
goto_tourstop	Saltar al tema
praxis	Concurrente
prev_page	Página anterior
quick_click	Clic rápido
click	Clic en enlace
rclick	Clic a la derecha
rdblclick	Doble clic a la derecha
drag	Arrastrar
drop	Pegar
enter	Pulsar ratón
record2	Grabar aplicación web
set_language	Cambiar idioma del proyecto
record_window_id	ID de la ventana grabada
sap_path	Ruta del menú
sc_config_file	Archivo de config. capturación de pantalla
sc_position	Posición de la barra de desplazamiento
screenshot_border	Borde de la capturación de pantalla
screenshot_file	Capturación de pantalla
screenshot_part	Capturación de pantalla parcial
screenshot_rect	Posición de la capturación de pantalla
overlay_pos	Posición de la superposición
rerec_click_pos	Posición de clic
scrollInDivsLeftRight	Desplazamiento horizontal
scroll_hor	Desplazamiento horizontal
scrollInDivsTopDown	Desplazamiento vertical
scroll_vert	Desplazamiento vertical
scrollleft	Posición horizontal
scrolltop	Posición vertical
select_single	Selección simple
show_actions	Mostrar acciónes
start_unit	Inicio unidad
status_info	Información del estado
status_text	texto del estatus
tcode	Código de transacción
test	Prueba
text	Texto
text_d	Entrada de texto
regexp	Expresión regular
tipp	Consejo práctico
titel	Título
title	Título
transaction_code	Código de transacción
transaction_info	Código de transacción
translate	Traducción automatizada
task_text	Descripción de la tarea
task_window_width	Ancho de ventana
task_window_height	Alto de ventana
task_window_orientation	Orientación
task_window_bgcolor	Fondo
type	Tipo
doc_heading_type	Plantilla
uebung	Práctica
underline	Subrayado
update	Actualizar
set_position	Posiciónar
show_position	Mostrar posición
update_all_macros	Actualizar todos los macros
update_page	Actualizar pagina
update_pagedump	Actualizar capturación de página
update_screenshot	Actualizar capturación de pantalla
warnung	Aviso
close_win_relpos	Ventana
win_screenshot	Nueva página como pantalla de captura
zoom_in	Acercar marco
zoom_out	Alejar marco
possible_points.h	Defines the maximum score for the lesson in Test Mode. In order to calculate the value automatically, the command 'Update' under the context menu in the Macro list is used.
mastery_score.h	Defines the minimum score a user has to achieve for passing the lesson in Test Mode. In order to calculate the value automatically, the command 'Update' under the context menu in the Macro list is used.
task_text.h	A task may be in a separate popup window in Practice and Test modes. In this case the text is produced in the 'HTML Editor'.
task_window_width.h	Gives the width of the task window in pixels.
task_window_height.h	Gives the height of the task window in pixels. If the window height is set to 0 the height of the task description window will adapt automatically to the length of the displayed text.
task_window_orientation.h	Sets the position of the task description window on the screen, relative to the center of the screen.
task_window_bgcolor.h	Sets the background color for the task description window. The color may be entered as a RBG value in HEX format or selected from out of the Color Picker dialog box.
task_window_in_practice.h	Defines if the task description is to be displayed in Practice Mode of the lesson.
task_window_in_test.h	Defines if the task description is to be displayed in Test Mode of the lesson.
dump_page.h	Defines the path to the recorded page. Usually this is a relative path to a page in the folder 'pages' of the project.
new_step.h	This parameter contains the name of the recorded topic (usually the name of the recorded Window) and later on can be optionally used for generating headings in a documentation file.
dump_win_relpos.h	Defines the index number for the newly opened browser window. In the position dialog the regarding value is entered under 'Frame'.
close_win_relpos.h	Defines the index number of the browser window to be closed. In the position dialog the regarding value is entered under 'Frame'.
dump_win_left.h	Defines the distance of the new window to the left screen border in pixels.
dump_win_top.h	Defines the distance of the new window to the top screen border in pixels.
dump_win_width.h	Defines the width of the new window in pixels.
dump_win_height.h	Defines the height of the new window in pixels.
fieldname.h	Contains the string, which is used for the explanation in text bubbles instead of the placeholder '${fieldname}' (see text mode in the HTML-Editor) when generating bubble content automatically with text modules while recording.
fieldicon.h	Contains the path to a button or icon, which is inserted in the explanation in text bubbles instead of the placeholder '${fieldicon}' (see text mode in the HTML-Editor) when generating bubble content automatically with text modules while recording.
explanation_d.h	Contains the text for the textbubble in Demo and Concurrent Mode.
explanation_p.h	Contains the text for the textbubble in Practice Mode.
all_like_demo.h	When this option is activated, the text entered under 'Explanation Demo' is also used automatically for the text bubble in Practice Mode.
position_b.h	Contains the position of the text bubble on the screen in Demo Mode. This parameter is detected automatically during automated recording and can be redefined afterwards in the position editor.
position_bu.h	Contains the position of the text bubble on the screen in Practice Mode. This parameter is detected automatically during automated recording and can be redefined afterwards in the position editor.
position_h.h	Contains the position of the recorded element on the screen. This parameter is detected automatically during automated recording and can be redefined afterwards in the position editor.
in_demo.h	Defines if a macro is to be displayed in Demo Mode of the lesson.
in_practice.h	Defines if a macro is to be displayed in Practice Mode of the lesson.
in_test.h	Defines if a macro is to be displayed in Test Mode of the lesson.
in_prax.h	Defines if a macro is to be displayed in Concurrent Mode of the lesson.
action.h	This parameter sets the mouse action, which is to be performed on the referenced object.
show_hl_p.h	If this option is activated, the referenced object is highlighted in Practice Mode.
show_hl_d.h	If this option is activated, the referenced object is highlighted in Demo and Concurrent Mode.
tcode.h	Contains the string of the SAP transaction code if a link was clicked in SAP.  This enbales the user to enter the transaction code directly instead of clicking the link.
position_tc.h	Contains the position of the transaction code field if SAP was recorded on the screen. This parameter is detected automatically during automated recording and can be redefined afterwards in the position editor.
hotkey.h	Contains the key or key code used. The key names are separated by spaces, for example: 'ctrl k'.
key_name.h	Contains the key or key code used. The key names are separated by spaces, for example: 'ctrl k'.
key_desc.h	The name of the keyboard combination can be entered as it is to be used in the bubble text instead of the placeholder '${key_desc}' (see text mode in HTML Editor). Changes to this input field are put into the automatically generated bubble text. The entered data in 'Key Code' is used as a default.
text_d.h	Contains the value given to the reorded input field during the automated recording process as it is to be used in the bubble text instead of the placeholder '${text_d}' (see text mode in HTML Editor). It is used as a text module for the automatically generated bubble text. Changes to this input field are put into the automatically generated bubble text.
regexp.h	A regular expression is an exactly defined search pattern which is used for finding a match pattern in a string of characters. When using a regular expression with an input field, the value entered during a simulation does not need to match exactly the value that was recorded originally. The value needs to be in the range of values covered by the regular expression to be valid. The regular must be JavaScript compliant. Some examples:\n \ndate: "\d{1,2}(\-|\/|\.)\d{1,2}\1\d{4}"\ncurrency: "(\d+|\d*(?:[.,])\d{1,2})" \ne-mail adddress: ".+\@(\[?)[a-zA-Z0-9\-\.]+\.([a-zA-Z]{2,3}|[0-9]{1,3})(\]?)"\n
position_af.h	If the option 'Confirm with Button' has been selected, then the object position must be defined. This parameter is detected automatically during automated recording and can be redefined afterwards in the position editor.
confirmation_tab.h	If this option is activated, the entry in the input field can be confirmed by hitting the 'Tab' key.
macro_comment.h	General Comment, will show in the thumbnail view if non-empty.
confirmation_enter.h	If this option is activated, the entry in the input field can be confirmed by hitting the 'Enter' key.
confirmation_button.h	If this option is activated, the entry in the input field can be confirmed by clicking a button. It only works if the position of the button is set correctly under 'Position Affirmation Button'.
choose_nr.h	Contains the index number of the selected entry in the popup menu or list field.
choose_text.h	Contains the name of the selected entry in the recorded popup menu or list field given during the automated recording process as it is to be used in the bubble text instead of the placeholder '${choose_text}' (see text mode in HTML Editor). It is used as a text module for the automatically generated bubble text. Changes to this input field are put into the automatically generated bubble text.
choose_bool.h	Contains the value if the radiobutton or checkbox is switched on or off. The value for a radiobutton is always '1' (on). The value for a checkbox can be '0' (ticked) or '1' (unticked).
scrollleft.h	Defines the ratio the application window is to be scrolled horizontally in pixels.
scrolltop.h	Defines the ratio the application window is to be scrolled vertically in pixels.
unused.h	This parameter is currently not used and should stay empty.
bubble_class.h	A different text style used for the display of text in your text bubble may be selected. Five styles are available from 'A' through 'E'. These can be found in the file 'bubble.css' in the 'resource' folder in the current working area.
bubblestyle_d.h	A different bubble type than 'Standard' can be selected for the demo text bubble, if additional types are defined with the 'Bubble Type Editor' under the menu 'Tools' -> 'Edit bubble types'. Bubble types are always available for all projects in the current workarea.
bubblestyle_p.h	A different bubble type than 'Standard' can be selected for the practice text bubble, if additional types are defined with the 'Bubble Type Editor' under the menu 'Tools' -> 'Edit bubble types'. Bubble types are always available for all projects in the current workarea.
bubble_width.h	Sets the width of the text bubble in pixels.
bubble_height.h	Sets the width of the text bubble in pixels. If the amount of text exceeds the available space in the text bubble it will adapt automatically to the length of the displayed text.
bubble_duration.h	Sets the duration of the text bubble during play back of the lesson in seconds.
bubble_orientation.h	This parameter sets the orientation of the text bubble relative to the referenced object. The spike of the text bubble points to the referenced position on the screen, while the bubble itself is offset to the selected direction. If the orientation 'Center' is selected the text bubble is displayed without a spike centered on the defined position.
bubble_orientation_p.h	This parameter sets the orientation of the text bubble in Practice Mode relative to the referenced object. The spike of the text bubble points to the referenced position on the screen, while the bubble itself is offset to the selected direction. If the orientation 'Center' is selected the text bubble is displayed without a spike centered on the defined position.
doc_enable.h	Defines whether this macro is to be taken into consideration during the creation of documentation. This way, some macro actions can be purposely hidden in the documentation.
doc_heading.h	Allows the use of the 'Name of Step' entered as the headline in the documentation.
imagesize.h	The value is entered as a percentage. The screenshot will be scaled relative to this value in the documentation file.
screenshot_file.h	Contains the file name of the screenshot in the 'doc' documentation folder of the project. In the Macro Editor this is displayed beneath as a preview. In order to show the screenshot in its original size, move the mouse over the preview image. The mouse will now change into a loupe icon. Now do a left-click and your screenshot will be displayed in its original size for as long as you hold the click.
screenshot_rect.h	Shows which area of the screen was used for the screenshot. As a rule, you will not need to manually edit this value.
screenshot_border.h	Border size for screenshots in the documentation files. The value is entered in pixel.
screenshot_sub_heading.h	Sets the string for the caption of the inserted screenshot in the doucmentation file.
rerec_element_type.h	Contains the detected element type during the automated recording process. It is used as a reference for rerecording. It should as a rule not be manually changed.
rerec_click_pos.h	Contains the click position on the screen detected during the automated recording. It should as a rule not be manually changed.
rerec_click_count.h	Contains the number of sequential clicks on the same control element in a recording, if the option 'Merge multiple clicks on the same scroll button' within the 'Settings' is activated. The automatically recorded value should as a rule not be manually changed.
sc_config_file.h	Contains the path to template file used for the recognition of the control elements during a recording. It equals the application chosen in the producer Recording Toolbar at the moment the macro was recorded. The automatically recorded value should as a rule not be manually changed.
record_window_id.h	Contains the window ID of the window of the recorded web appplication. The automatically recorded value should as a rule not be manually changed.
rerec_manual.h	If this option is activated and a project is rerecorded datango producer will stop at this macro and manual recording of the macro will resume. The automatic repeat recording will continue afterwards. This option is particularly important at positions where a desired object for the action to be recorded is purposely found in another position or a different object for the recording must be selected.
explanation_d_modified.h	Prevents the contents of the Demo text bubbles to be automatically replaced by the text created by an Automated Translation or a Rerecording. The options are activated as soon as the contents of a bubble is edited manually or is altered by the function 'Bubble Search & Replace'. In this case the contents can be exported in a word file by Export Translatable in order to be translated manually by a translator.
explanation_p_modified.h	Prevents the contents of the Practice text bubbles to be automatically replaced by the text created by an Automated Translation or a Rerecording. The options are activated as soon as the contents of a bubble is edited manually or is altered by the function 'Bubble Search & Replace'. In this case the contents can be exported in a word file by Export Translatable in order to be translated manually by a translator.
jump_target.h	Sets the jump target within the lesson after the action described by the macro is completed. It is required for the creation of tree structures within a lesson.
wait_for_input.h	Forces datango producer to pause proceeding to the next macro during playback, until the action described by the macro was performed. It is required for the creation of tree structures within a lesson.
full_form.h	Improves filling out forms of an application in Practice or Test Mode. By activating this option for all action macros of a topic, they will be grouped. For this group the order of the entries made into the different elements of the form does not matter anymore as the correction will be done only with the last text input. The form is filled out correctly when all entered values are correct. The textbubble displayed for this is the one from the last macro in this group.
set_focus.h	Defines whether the focus is set on the regarding input field on the page during playback of the lesson. If deactivated the user has to set the focus by himself, which is closer to the bhavious of a live application.
animated.h	If activated the text input or the selection in the list is played back as an animation in Demo and Concurrent Mode.
doc_caption.h	Contains the string used as title on the cover page of the documentation file.
doc_description.h	Contains the string used as description on the cover page of the documentation file.
sap_tcode.h	Contains the string of the transaction code detected during the recording of an SAP application.
sap_path.h	Contains the menu path of the selected transaction detected during the recording of an SAP application.
show_actions.h	Allows that subsequent actions are displayed on the partial screenshot in the documentation instead of the last macro 'New Page'.
text.h	The desired text is entered and formatted in this text field.
Note:	Only enter plain text into the text editor. HTML formatting and inserted images or screenshots are not transferred completely into the documentation file, and can lead to unexpected results.
explanation_type.h	The text box inserted into the lesson and documentation file can be selected from four different types, each represented by a different icon: Note, Tip, Info, and Warning/Guideline. All icons can be found and changed in the 'resource' folder of respective Workarea.
Images	are found in the img folder of the standard macro set of your datango producer installation with these file endings: hinweis.gif, info.gif, tipp.gif and warnung.gif. You may replace these with your own images.
explanation_type	Type (Icon)
status_text.h	Contains the automatically recorded message text displayed in the status bar of the recorded SAP system.
alternate_text.h	Contains the automatically recorded additional message text displayed in the status bar of the recorded SAP system.
doc_chapter_heading.h	Starts the new section with the title you entered in this input field.
doc_heading_template.h	Contains the name of the desired format template (e.g.: 'Heading 2') in MS Word. If empty, the same template as for the chapters (topics in the lesson) is used.
doc_marker_orientation.h	Sets the position of the added index relative to the marked object. If set to 'Center' the index will be placed in the center of the marked area on the screenshot.
doc_arrow_orientation.h	Sets the arrow's alignment. The anchors are numbered from '1' to '8' in a clockwise direction, beginning with the upper center position.
g_highlight_effect.h	This option determines the kind of effect used for highlights in the projects.
g_highlight_border.h	This parameter defines the density of the lesson highlight frame in pixels. Pixel widths available are from '1' to '10'.
g_highlight_rgb.h	This defines the standard color of the highlight border. The color may be entered as a RBG value in HEX format or selected from out of the Color Picker dialog box.\nNote: A color value defined here is only valid when no color has been defined in Highlight Style.
g_highlight_name.h	You may determine a highlight name with this parameter with which regular highlights are called within the lesson. The name as a rule should not be changed.
g_highlight_style.h	This parameter enables you advanced possibilities to alter the appearance of the highlights in the lesson. If a color has been entered here it overrides the color settings entered under 'Highlight Color'.\nAn image from out of the 'widgets/highlight2' folder in the active workarea can also be applied. If you use a PNG file for instance, it will be able to contain a proportional transparency. Therefore the border of the highlight will also be transparent.
g_highlight_fillstyle.h	This parameter works similar to the parameter Highlight Style, but fills the inside area of the highlighted area with the defined color or image. In this case transparency is also an option if you decide to use an image.
g_linktextpraxis.h	When there is a lesson pause during playback and the lesson can only continue when the user clicks on the link at the bottom of the text bubble being displayed, the text you enter here will be the link text. The text may contain HTML attributes. Therefore, it is also possible to include an image file path.\nAn image is used as default. If you would like to use your own image, please observe the following syntax:\n'<img src='${resource_dir}/next_red.gif' border=0>'\nNote: The string '${resource_dir}' serves as a free variable parameter and is replaced by the datango producer later with the correct path to the 'Resource' folder in your workarea. It must always be contained in the path. If this placeholder is not used, then the playback of the lessons may be faulty. If you would like to use your own images, please file them in the 'Resource' folder.
g_back_link.h	When there is a lesson pause during playback in Working mode and the user may jump back to the previous topic when clicking on the link at the bottom of the text bubble being displayed, the text you enter here will be the link text. The text may contain HTML attributes. Therefore, it is also possible to include an image file path.\nAn image is used as default. If you would like to use your own image, please observe the following syntax:\n'<img src='${resource_dir}/next_red.gif' border=0>'\nNote: The string '${resource_dir}' serves as a free variable parameter and is replaced by the datango producer later with the correct path to the 'Resource' folder in your workarea. It must always be contained in the path. If this placeholder is not used, then the playback of the lessons may be faulty. If you would like to use your own images, please file them in the 'Resource' folder.
g_close_link.h	Clicking on the link in the displayed bubble can close a lesson in Concurrent Mode. The text you have entered here is used for the link. The text may contain HTML attributes. Therefore, it is also possible to include an image file path.\nAn image is used as default. If you would like to use your own image, please observe the following syntax:\n'<img src='${resource_dir}/next_red.gif' border=0 >'\nNote: The string '${resource_dir}' serves as a free variable parameter and is replaced by the datango producer later with the correct path to the 'Resource' folder in your workarea. It must always be contained in the path. If this placeholder is not used, then the playback of the lessons may be faulty. If you would like to use your own images, please file them in the 'Resource' folder.
g_show_step_bubble.h	If this option is activated, a text bubble is displayed in Test Mode which contains a link which opens an additional window in Demo Mode showing the actual step and closing it again afterwards. The text bubbles for entry fields also show the explanation from Practice Mode.
g_alternate_link.h	Defines the link text in the text bubble for the option 'Show Step bubble'.
g_show_ok_bubble.h	If a step in Test Mode was performed correctly, a bubble containing 'OK' is displayed.
g_bubblestyle_ok.h	Defines the 'Bubble Style' used for the text 'OK' bubble when the option 'OK in Test Mode' is activated.
g_show_mouse.h	Shows actions on pages, which normally are performed with the mouse, as an animated mouse pointer in Demo and Concurrent Mode. By default this option is deactivated.
menu_path:/main/doc/doclet	Insertar macro de documentación
menu_path:/main/doc/word_doc	Generar documento Word
menu_path:/main/tools/translate	Lenguajes
menu_path:/main/tools/addmac	Insertar macro especial
menu_path:/main/edit/addqmac	Insertar macro de examen rápido
# translations for settings dialog
arrow_len	Longitud flecha
arrow_len.h	Defines the length of the arrowhead in the macro 'Doc: Arrow' in pixel.
arrow_width	Anchura flecha
arrow_width.h	Defines the width of the arrowhead in the macro 'Doc: Arrow' in pixel.
atomize_scroll_buttons	Integrar múltiple clics en el mismo botón de desplazamiento
atomize_scroll_buttons.h	If this option is activated, multiple serial clicks on the same scroll bar are recorded as a single 'Horizontal Scroll' or 'Vertical Scroll' macro.
autocrop	Recortar automáticamente
autocrop.h
check_position	Controlar tambien la vieja posición del control
check_position.h	This option enables considering position dependent search for a control.
crop_min_h	Altura mínima (pixel)
crop_min_h.h
crop_min_off_b	Borde de fondo (pixel)
crop_min_off_b.h
crop_min_off_l	Borde izquierdo (pixel)
crop_min_off_l.h
crop_min_off_r	Borde derecho (pixel)
crop_min_off_r.h
crop_min_off_t	Borde de arriba (pixel)
crop_min_off_t.h
crop_min_w	Anchura mínima (pixel)
crop_min_w.h
default_bubble_duration	Duración predeterminada de la leyenda
default_bubble_duration.h	Duración predeterminada de las leyendas en el modo demo en segundos.
demo_bubble_at_element	Leyenda demo en el elemento
demo_bubble_at_element.h	If activated, an algorithm tries to position the demo bubble close to the referenced element at the best possible position. If deactivated the text bubble will always be positioned at the element's bottom-right corner.
demo_text_with_value	Texto de demostración con el valor
demo_text_with_value.h	If activated, in Demo mode the value or text (in a text field) entered during the recording process is included in the explanation text of the text bubbles.
div_is_link	Tratar <DIV> como elementos <A>
div_is_link.h	Sometimes, the recognition of '<DIV>' tag elements in the HTML code of a recorded web page fails, if it is unique to the recorded web application and cannot be found in the built in reference tables of datango producer. This option enforces datango producer to treat such an element like a usual '<A>' tag instead, preventing the recording from being terminated.
doc.h	The template defined in this parameter is used for generating the Microsoft Word documentation for a project.
doc_template	Plantilla documentación Word
dot_filter	Plantilla documento Word (*.dot)
export_page_caption	Exportar título de página
export_tourstop_name	Exportar nombre del tema
global_index_counter	Contador del índice global
global_index_counter.h	Prevents resetting marker indexes for every new screenshot in the documentation file.
heading_from_new_page	Títulos de nueva página macro
heading_from_new_page.h	Defines whether the chapter head is transferred automatically from the page heads of the 'New Page' macros.
heading_from_tourstop	Títulos del tema
heading_from_tourstop.h	Defines whether the chapter head is to be taken from the topic titles in the lesson.
headings	Títulos
headings.h
hinweis_left_indent	Sangrar izquierdo de la tabla de aviso
hinweis_left_indent.h	Formats left indentation for the Doc: Note macro. The value is entered in (Pt).
ignore_tourstop_start	Ignore primer tema
ignore_tourstop_start.h	By default, the first (special start or init) topic will be ignored for documentation, since it only contains information for the initialization of datango trainer. If the option is deactivated the first topic will be integrated in the documentation file.
image_caption_from_new_page	subtítulo del imagen Nueva página macro
image_caption_from_new_page.h	The image captions are generated from the title in the 'New Page' macro.
image_scale	Escala de imágen
image_scale.h	The value is entered as a percentage. The images will be scaled relative to this value.
images	Imágenes
images.h
images_with_caption	Imagen con subtítulo
images_with_caption.h	Images get a bottom caption (Figure xyz). If this option is activated, the images used in the documentation will be given a caption like this: 'Image #'. The '#' character is replaced by the consecutive number of the corresponding image. If the option is deactivated, there are no captions.
include_project_details	Incluir detalles del proyecto
include_project_details.h	This option includes the project description and display name from Project Explorer.
input_confirm_button	Botón confirma la entrada
input_confirm_button.h	The click on a button is set as a default confirmation for recorded entry fields.
input_confirm_enter	Botón confirma entrada
input_confirm_enter.h	The 'Enter' Key is set as a default confirmation for recorded entry fields.
input_confirm_tab	TAB confirma entrada
input_confirm_tab.h	The 'TAB' Key is set as a default confirmation for recorded entry fields.
insert_inactive_edit_macros	Generar macros para el campo de editar inactivo
insert_inactive_edit_macros.h	If this option is activated, the recording over a SAP application creates a topic for every activated input field, including the macro belonging to it. For projects that also include the creation of documentation, this behavior is often unwanted; therefore the option is deactivated by default.
interactive	Volver a grabar interactivo
interactive.h	In case of problems during the rerecording process, parameters can be changed in an appearing dialog box. If this option is deactivated, datango producer terminates the recording process with an error message and an error log file is generated.
marker_bg_color	Señalización del color de fondo
marker_bg_color.h	This parameter defines the background color given to the ordinal numbers of the markers during the compilation of a documentation file. The RGB values are taken from the HEX table for the colors blue, green and red in the following format: 'RRGGBB'. The default value is 'ffff80', the color yellow.
marker_border	Borde de la señalización
marker_border.h	Defines the width of the marker border in pixel.
marker_color	Color de la senãlización
marker_color.h	This parameter defines the marker border color given to the marker during documentation creation. The RGB values are taken from the HEX table for the colors blue, green and red in the following format: 'RRGGBB'. The default value is 'ff0000', the color red.
marker_offset	Offset de la señalización
marker_offset.h	Defines the added pixel offset of the marker rectangle surrounding the marked element on the screenshot.
marker_rect_radius	Radio del rectángulo de la señalización
marker_rect_radius.h	Radius for rounded marker rectangles
marker_text_color	Color del texto de la señalización
marker_text_color.h	This parameter defines the text color given to the text of the ordinal number during documentation creation. The RGB values are taken from the HEX table for the colors blue, green and red in the following format: RRGGBB. The default value is 000000, the color black.
markers	Señalización
markers.h
master_template	Plantilla de documento (Master-doc)
master_template.h	The template defined in this parameter is used by datango producer for generating the master documentation file for a group of projects.
new_release	Grabar nueva versión
new_release.h	This option provides the possibility to update an existing project if the version of the recorded application has changed. The rerecording will be processed in the same language as in the original project. Known descriptors and labels on the screens will be used to identify elements on the screen if the layout of the application has slightly changed.
pot_filter	Plantilla de PowerPoint (*.pot)|*.pot
ppt_template	Plantilla de documentación PPT
ppt_template.h	The template defined in this parameter is used for generating the Microsoft PowerPoint documentation for a project.
practice_bubble_at_element	Leyenda práctica en el elemento
rec	Grabación
rec.h
record_scroll	Grabar macros de desplazamiento
record_scroll.h	If this option is activated, 'Horizontal Scroll' and 'Vertical Scroll' macros are recorded automatically while recording a lesson. If this option is deactivated these macros have to be added manually to the project.
rects_with_index	Señalización con número
rects_with_index.h	When creating documentation, ordinal numbers are attached to the markers on the screenshot, so that these bubble texts can be allocated. If this option is activated, these ordinal numbers are created with the documentation.
screenshot_border_color	Color de bode de la captura de pantalla
