action	Aktion
choose_nr.h	Dieser Parameter enthält die Index-Nummer des auszuwählenden Eintrag in einem Popup-Menü oder einem Listenfeld. Er wird beim automatisierten Aufzeichnen automatisch ermittelt.
choose_text.h	Dieser Parameter enthält die Zeichenkette, die bei der automatisierten Aufnahme zu dem ausgewählten Eintrag in einem Popup-Menü oder einem Listenfeld ermittelt wurde. Dieser String wird in den Erklärungstexten der Textbubbles in den verschiedenen Modi anstelle des Platzhalters '${choose_text}' (siehe Text-Modus im HTML-Editor) bei der automatischen Textgenerierung mit Textbausteinen während der Aufnahme eingefügt.
choose_bool.h	Dieses Feld enthält den Wert, ob das Optionsfeld oder Ankreuzfeld an- oder ausgeschaltet ist. Für ein Optionfeld ist der Wert immer '1' (eingeschaltet). Für ein Ankreuzfeld kann der eingetragene Wert '0' (ausgeschaltet) oder '1' (eingeschaltet) sein.
scrollleft.h	Dieser Parameter enthält den Wert in Pixel, um den der betreffende Frame der Anwendung horizontal gescrollt werden soll.
scrolltop.h	Dieser Parameter enthält den Wert in Pixel, um den der betreffende Frame der Anwendung vertikal gescrollt werden soll.
unused.h	Dieser Parameter wird zurzeit nicht verwendet und sollte leer bleiben.
bubble_class.h	Mit dieser Einstellung kann ein vorgegebener Stil für das Aussehen der dargestellten Textbubbles ausgewählt werden. Es stehen die 5 Stile 'A' bis 'E' zur Verfügung, die in der Datei 'bubble.css' im Ordner 'resource' des jeweiligen Arbeitsbereiches abgelegt sind.
bubblestyle_d.h	Diese Einstellung legt fest, welcher Bubbletyp für die Darstellung der Textbubble im Demo- und Praxis-Modus verwendet werden soll. Bubbletypen werden über den Bubbletyp-Editor definiert, der über das Menü 'Werkzeuge' -> 'Bubbletypen bearbeiten' aufgerufen wird. Bubbletypen sind immer für den gesamten Arbeitsbereich verfügbar.
bubblestyle_p.h	Diese Einstellung legt fest, welcher Bubbletyp für die Darstellung der Textbubble im Übungs-Modus verwendet werden soll. Bubbletypen werden über den Bubbletyp-Editor definiert, der über das Menü 'Werkzeuge' -> 'Bubbletypen bearbeiten' aufgerufen wird. Bubbletypen sind immer für den gesamten Arbeitsbereich verfügbar.
bubble_width.h	Definiert die Breite der darzustellenden Textbubbles in Pixel.
bubble_height.h	Definiert die Höhe der darzustellenden Textbubbles in Pixel. Übersteigt die darzustellende Textmenge den verfügbaren Bereich in der Textbubble, so wird diese in der Höhe nach unten automatisch auf den benötigten Platz angepasst.
bubble_duration.h	Der hier eingetragene Wert definiert die Anzeigedauer der Textbubble in Sekunden.
bubble_orientation.h	Dieser Parameter legt die Ausrichtung der Textbubble relativ zum referenzierten Objekt fest. Hierbei zeigt der Pfeil der Bubble auf die als Position referenzierte Stelle auf der Seite, während die Bubble selbst entsprechend der Angabe versetzt dazu eingeblendet wird. Ist die Ausrichtung 'Mitte' ausgewählt, so wird die Textbubble ohne Pfeil mittig auf der angegebenen Position platziert.
bubble_orientation_p.h	Dieser Parameter legt die Ausrichtung der Textbubble relativ zum referenzierten Objekt im Übungs-Modus fest. Hierbei zeigt der Pfeil der Bubble auf die als Position referenzierte Stelle auf der Seite, während die Bubble selbst entsprechend der Angabe versetzt dazu eingeblendet wird. Ist die Ausrichtung 'Mitte' ausgewählt, so wird die Textbubble ohne Pfeil mittig auf der angegebenen Position platziert.
doc_enable.h	Für das entsprechende Makro kann über diese Option festgelegt werden, ob es bei der Generierung einer Dokumentation berücksichtigt werden soll.
doc_heading.h	Diese Option sorgt dafür, dass der Eintrag unter 'Lernschritt Name' als Überschrift in der Dokumentation verwendet wird.
imagesize.h	Dieser Wert legt den Abbildungsfaktor in Prozenten fest, mit dem der Screenshot in eine zu generierende Dokumentation eingefügt wird.
screenshot_file.h	Dieser Parameter enthält den Dateinamen im Dokumentations-Ordner 'doc' des entsprechenden Projektes im Arbeitsbereich. Dieser wird darunter als Vorschau angezeigt. Um den Screenshot in Originalgröße anzuzeigen, kann die Maus über das Vorschaubild bewegt werden. Der Mauszeiger wechselt dann zu einem Lupensymbol. Durch Klick mit der linken Maustaste wird der Screenshot in Originalgröße angezeigt, so lange die Maustaste gedrückt bleibt.
screenshot_rect.h	Die hier eingegebenen Werte geben an, welcher Bereich des originalen Screens für den Screenshot verwendet wird. In der Regel sollte ein manuelles Editieren dieser Werte nicht nötig sein.
screenshot_border.h	Dieser Parameter bestimmt Rahmen- und Randstärke für Dokumentations-Screenshots in Pixel. Die Einstellung gilt für alle nach dem Zeitpunkt der Änderung aufgenommenen Makros.
screenshot_sub_heading.h	Die hier eingetragene Zeichenkette wird als Untertitel für den in der Dokumentation eingefügten Screenshot verwendet.
rerec_element_type.h	Dieser Parameter enthält, welcher Elementtyp bei der automatisierten Aufnahme ermittelt wurde. Er wird als Referenz für die erneute Aufnahme verwendet und sollte in der Regel nicht verändert werden.
rerec_click_pos.h	Hier wird bei der automatisierten Aufnahme die Klickposition auf dem Bildschirm festgehalten. Die automatisch ermittelten Werte sollten in der Regel nicht verändert werden.
rerec_click_count.h	Hier wird die Anzahl der direkt hintereinander folgenden Klicks auf das gleiche Steuerelement während einer Aufnahme automatisch festgehalten, wenn in den zentralen Einstellungen unter 'Aufnahme' die Option 'Mehrere Kicks auf gleiche Scroll-Schaltfläche' aktiviert ist. Der automatisch ermittelte Wert sollte in der Regel nicht verändert werden.
sc_config_file.h	Enthält den Pfad zu der für den Screenshot verwendeten Template-Datei zur Erkennung der Steuerelemente bei einer Aufnahme. Diese entspricht dem zur Zeit der Aufnahme in der Aufnahmeleiste eingestellten Applikation. Der automatisch ermittelte Wert sollte in der Regel nicht verändert werden.
record_window_id.h	Hält bei der Aufnahme von Web-Applikationen die Fenster-ID des gerade aufgenommenen Fensters fest. Der automatisch ermittelte Wert sollte in der Regel nicht verändert werden.
rerec_manual.h	Ist diese Option gesetzt, bedeutet dies, dass der datango producer beim erneuten Aufnehmen an diesem Makro anhält und eine manuelle Aufzeichnung des Makros erwartet. Das automatische erneute Aufnehmen wird danach fortgesetzt. Diese Option ist vor allem an den Stellen des Projektes sinnvoll, an denen wissentlich das gewünschte Objekt für die aufzunehmende Aktion an einer anderen Stelle zu finden ist oder ein anderes Objekt für die Aufnahme ausgewählt werden muss.
explanation_d_modified.h	Ist diese Option gesetzt, so wird der Text in der Textbubble für den Demo- und Praxis-Modus bei einer erneuten Aufnahme oder automatischen Übersetzung nicht mehr automatisch generiert, sondern muss manuell bearbeitet werden. Dies hilft manuell vorgenommene Änderungen am Inhalt der Textbubble zu erhalten.
explanation_p_modified.h	Ist diese Option gesetzt, so wird der Text in der Textbubble für den Übungs-Modus bei einer erneuten Aufnahme oder automatischen Übersetzung nicht mehr automatisch generiert, sondern muss manuell bearbeitet werden. Dies hilft manuell vorgenommene Änderungen am Inhalt der Textbubble zu erhalten.
jump_target.h	Dieser Wert definiert das Sprungziel innerhalb der Lerneinheit, nachdem die im Makro geforderte Aktion abgeschlossen ist. Er wird für das Anlegen von Verzweigungen in einer Lerneinheit benötigt.
wait_for_input.h	Diese Option sorgt dafür, dass das nächste Makro erst dann ausgeführt wird, wenn die im augenblicklichen Makro geforderte Aktion durchgeführt wurde. Sie wird für das Anlegen von Verzweigungen in einer Lerneinheit benötigt.
full_form.h	Diese Option ermöglicht die optimale Darstellung zum Ausfüllen kompletter Formulare innerhalb einer Anwendung im Übungs- und im Test-Modus. Hierfür muss dieser Parameter in allen Aktions-Makros des betreffenden Lernschrittes aktiviert werden. Dies bewirkt, dass alle Eingaben für diese Gruppe in beliebiger Reihenfolge gemacht werden können, da die Kontrolle der Eingabefelder erst nach dem Ausfüllen des letzten Aktions-Makros erfolgt. Für die dargestellte Textbubble wird der Inhalt des letzten Aktions-Makros der gebildeten Gruppe verwendet.
set_focus.h	Diese Option legt fest, ob beim Abspielen der Lerneinheit der Fokus automatisch auf das entsprechende Eingabefeld auf der Seite gesetzt werden soll oder ob der Benutzer diesen selber setzen muss, was eher dem Verhalten der Live-Applikation entspricht.
animated.h	Durch diese Option werden die Eingabe/Auswahl bei der Wiedergabe im Demo- und Praxis-Modus animiert dargestellt.
doc_caption.h	Hier wird die Zeichenkette eingetragen, die für den Titel auf dem Deckblatt der zu generierenden Dokumentation verwendet werden soll.
doc_description.h	Die hier eingegebene Zeichenkette legt den Untertitel für das Deckblatt der zu generierenden Dokumentation fest.
sap_tcode.h	Dieser Parameter enthält den während der Aufnahme automatisch ermittelten Transaktionscode bei einer Aufnahme über SAP.
sap_path.h	Dieser Parameter enthält den automatisch während der Aufnahme ermittelten SAP-Menüpfad zu einer Transaktion bei einer Aufnahme über SAP.
show_actions.h	Ist diese Option aktiviert, werden die nachfolgenden Aktionen (beschrieben durch Aktionsmakros) wie auf dem Screenshot des Makros 'Neue Seite' auf dem partiellen Screenshot angezeigt.
text.h	Hier wird der Hinweistext eingetragen, der in der Dokumentation eingefügt, bzw. als Textbubble in der Lerneinheit angezeigt werden soll.\nBitte beachten Sie, dass Sie im Text-Editor nur reinen Text eingeben sollten. Dort vorgenommene HTML-Formatierungen oder eingefügte Bilder, bzw. Screenshots, werden nicht vollständig in die Dokumentation übernommen und können somit zu ungewollten Ergebnissen führen.
explanation_type.h	Diese Einstellung legt den Hinweis-Typ fest. Je nach eingestelltem Typ wird zusammen mit dem Text ein bestimmtes Piktogramm abgebildet, um den Hinweistext entsprechend zu markieren. Die verwendeten Bilder befinden sich im Ordner 'resource' der entsprechenden Workarea und haben die Bezeichnungen 'hinweis.gif', 'info.gif', 'tipp.gif' und 'warnung.gif'. Sie können diese durch eigene Bilder austauschen.
explanation_type	Typ (Icon)
status_text.h	Dieses Eingabefeld enthält den Text einer Meldung in der Statusleiste des SAP-Systems, die während der Aufnahme automatisch aufgezeichnet wurde.
alternate_text.h	Dieses Eingabefeld enthält den Zusatztext einer Meldung in der Statusleiste des SAP-Systems, die während der Aufnahme automatisch aufgezeichnet wurde.
doc_chapter_heading.h	In diesem Eingabefeld wird die Zeichenkette eingetragen, die als zusätzliche Überschrift für ein neues Kapitel in der Dokumentation eingefügt werden soll.
doc_heading_template.h	In diesem Eingabefeld kann eine Formatvorlage angegeben werden, die für die zusätzliche Überschrift verwendet werden soll. Die Formatvorlage wird hierbei direkt mit ihrer Bezeichnung eingetragen. Ist das Feld leer, so wird dieselbe Formatvorlage wie für die Kapitelüberschriften der Lernschritte verwendet.
doc_marker_orientation.h	Durch diesen Parameter wird die Ausrichtung der hinzugefügten Nummerierung relativ zu dem markierten Objekt festgelegt. Ist als Ausrichtung 'Mitte' ausgewählt, wird die Nummerierungsindex direkt mittig über dem Markierungsrahmen platziert.
doc_arrow_orientation.h	Dieser Parameter bestimmt die Ausrichtung des hinzugefügten Markierungspfeils auf dem vorangegangenen Screenshot. Die möglichen Ausrichtungen sind hierfür von 1 bis 8 im Uhrzeigersinn durchnummeriert, wobei 1 die Pfeilspitze bei 12 Uhr beginnend nach oben zeigen lässt. Der angegebene Wert muss somit zwischen 1 und 8 liegen.
g_highlight_effect.h	Diese Option legt fest, welcher Effekt für die Darstellung der Highlights in der Lerneinheit verwendet wird.
g_highlight_border.h	Dieser Parameter legt für die Lerneinheit die Dicke des Rahmens in Pixel fest, mit dem ein Highlight angezeigt wird. Zur Verfügung stehen die Stärken '1' bis '10'.
g_highlight_rgb.h	Hiermit wird die Standardfarbe für die Rahmen der angezeigten Highlights festgelegt. Die Farbe kann direkt als RGB-Wert im Hex-Format angegeben oder aus dem aktivierbaren Farbwähler übernommen werden.\nHinweis: Die hier eingestellte Farbe wird nur übernommen, wenn unter Highlight Stil keine Farbe definiert wurde.
g_highlight_name.h	Dieser Parameter bestimmt den Namen, mit dem reguläre Highlights intern innerhalb der Lerneinheit angesprochen werden. Er sollte in der Regel nicht verändert werden.
g_highlight_style.h	Dieser Parameter bietet erweiterte Möglichkeiten, das Aussehen eines Highlights zu manipulieren. Ist eine Farbe angegeben, so überschreibt diese den unter 'Highlight Farbe' eingestellten Wert. Es kann aber auch ein Bild aus dem Ordner 'widgets/highlight2' im aktiven Arbeitsbereich angegeben werden. Wenn es sich z.B. um eine PNG-Datei handelt, so kann diese eine prozentuale Transparenz beinhalten. Der Rahmen des Highlights wird durch die Verwendung dieses Bildes für seine Generierung ebenfalls entsprechend transparent.
