click.demo	[B_NAME] is clicked.
click_mark_entry.demo	Clicking on the entry [B_NAME] selects it.
click_mark_entry.prac	Select the entry [B_NAME] by clicking it.
click_mark_entry_img.demo	Clicking on the entry [ICON] selects it.
click_mark_entry_img.prac	Select the entry [ICON] by clicking it.
dblclick_mark_entry_img.demo	Double-clicking on the entry [ICON] selects it.
dblclick_mark_entry_img.prac	Select the entry [ICON] by double-clicking it.
click_menu_select_img.demo	Clicking on the [ICON] menu item executes it.
click_menu_select_img.prac	Click on the [ICON] menu item to execute it.
click_open_menu_img.demo	Clicking on the [ICON] menu opens it.
click_open_menu_img.prac	Click on the [ICON] menu to open it.
click_select_card_img.demo	Clicking on the [ICON] tab selects it.
click_select_card_img.prac	Click on the [ICON] tab to select it.
dblclick_select_line.demo	Double-clicking the [NAME] button selects the row.
dblclick_select_line.prac	Double-click the [NAME] button to select the row.
click_activate_edit.demo	Clicking in the input field [B_NAME] activates it.
click_activate_edit.prac	Click in the input field [B_NAME] to activate it.
dblclick_activate_edit.demo	Double-clicking in the input field [B_NAME] activates it.
dblclick_activate_edit.prac	Double-click in the input field [B_NAME] to activate it.
dblclick_open_folder_img.demo	Double-clicking the [ICON] icon opens the folder [B_NAME].
dblclick_open_folder_img.prac	Open the folder [B_NAME] by double-clicking on the [ICON] icon.
click_open_folder.demo	Clicking on the <b>Open folder</b> icon opens the folder [B_NAME].
click_open_folder.prac	Open the folder [B_NAME] by clicking on the <b>Open folder</b> icon.
dblclick_open_folder.demo	Double-clicking the <b>Open folder</b> icon opens the folder [B_NAME].
dblclick_open_folder.prac	Open the folder [B_NAME] by double-clicking on the <b>Open folder</b> icon.
click_close_folder.demo	Clicking on the <b>Close folder</b> icon closes the folder [B_NAME].
click_close_folder.prac	Close the folder [B_NAME] by clicking on the <b>Close folder</b> icon.
drag_scroll_hor.demo	The <b>scroll bar</b> is used to display the desired screen area.
drag_scroll_hor.prac	Use the <b>horizontal scroll bar</b> to display the desired screen area.
drag_scroll_vert.demo	The <b>scroll bar</b> is used to display the desired screen area.
drag_scroll_vert.prac	Use the <b>vertical scroll bar</b> to display the desired screen area.
click_scroll.demo	Clicking on the <b>scroll button</b> [NAME] displays the desired screen area.
click_scroll.prac	Scroll by clicking on the <b>scroll button</b> [NAME].
click_scroll_page_left.demo	Clicking in the <b>scroll area</b> displays the desired screen area.
click_scroll_page_left.prac	Click in the <b>area to the left of the scroll bar</b> to scroll to the left.
click_scroll_page_right.demo	Clicking in the <b>scroll area</b> displays the desired screen area.
click_scroll_page_right.prac	Click in the <b>area to the right of the scroll bar</b> to scroll to the right.
click_scroll_page_up.demo	Clicking in the <b>scroll area</b> displays the desired screen area.
click_scroll_page_up.prac	Click in the <b>area above the scroll bar</b> to scroll up.
click_scroll_page_down.demo	Clicking in the <b>scroll area</b> displays the desired screen area.
click_scroll_page_down.prac	Click in the <b>area below the scroll bar</b> to scroll down.
rclick_context.demo	Right-clicking on [B_NAME] with the mouse opens a shortcut menu.
rclick_context.prac	Click on [B_NAME] with the right mouse button.
dblclick_img.demo	[ICON] is double-clicked.
dblclick_img.prac	Double-click on [ICON].
keypress.demo	Enter [B_KEY].
keypress.prac	Enter [B_KEY].
item.close_folder	Close folder
item.open_folder	Open folder
item.enter_key	Enter
item.tab_key	Tab
item.vscroll	Vertical scroll bar
item.hscroll	Horizontal scroll bar
item.close_window	Close window
item.value_help	Input Help
item.scroll	Scroll bar
item.back_btn	Back
item.save_btn	Save
item.scroll_area	Scroll area
drag_img.demo	Drag [B_NAME_ICON].
drag_img.prac	Drag [B_NAME_ICON].
drop_img.demo	Drop on [B_NAME_ICON].
drop_img.prac	Drop on [B_NAME_ICON].
dblclick_start_transaction2.demo	The transaction [B_NAME] is started by double-clicking it.
dblclick_start_transaction2.prac	Start the transaction [B_NAME] by double clicking it.
docSAPMenuPath	Menu Path
docSAPTransaction	Transaction
docTableHeaderStep	Step
docTableHeaderAction	Action
docTableHeaderInput	Input
docTableHeaderExpectedResults	Expected Results
docTableHeaderPassed	Passed
docTableHeaderFailed	Failed
enter_img.demo	Move mouse on [B_NAME_ICON].
enter_img.prac	Move mouse on [B_NAME_ICON].
