click.demo	Napsauta nyt [B_NAME].
click_scroll_pagedown.demo	Napsauttamalla [ICON] vieritetään yksi sivu alaspäin.
click_scroll_pagedown.prac	Vieritä yksi sivu alaspäin napsauttamalla [ICON].
click_scroll_lineup.demo	Napsauttamalla [ICON] vieritetään yksi rivi ylöspäin.
click_scroll_lineup.prac	Vieritä yksi rivi ylöspäin napsauttamalla [ICON].
click_scroll_linedown.demo	Napsauttamalla [ICON] vieritetään yksi rivi alaspäin.
click_scroll_linedown.prac	Vieritä yksi rivi alaspäin napsauttamalla [ICON].
click_close_window_img.demo	Ikkuna suljetaan napsauttamalla [ICON].
click_close_window_img.prac	Sulje ikkuna napsauttamalla [ICON].
click_select_all_lines_img.demo	Napsauttamalla [ICON] merkitään kaikki rivit.
click_select_all_lines_img.prac	Valitse kaikki rivit napsauttamalla [ICON].
click_open_card_menu.demo	Napsauttamalla [ICON] avataan korttivalinta.
click_open_card_menu.prac	Avaa korttivalinta napsauttamalla [ICON].
click_select_card.demo	Kortti [B_NAME] valitaan.
click_select_card.prac	Valitse kortti [B_NAME].
click_next_cards_img.demo	Napsauttamalla [ICON] näytetään seuraavat kortit.
click_next_cards_img.prac	Näytä seuraavat kortit napsauttamalla [ICON].
click_prev_cards_img.demo	Napsauttamalla [ICON] näytetään edelliset kortit.
click_prev_cards_img.prac	Näytä edelliset kortit napsauttamalla [ICON].
click_open_nav_menu.demo	Napsauttamalla [ICON] avataan navigointivalikko.
click_open_nav_menu.prac	Avaa navigointivalikko napsauttamalla [ICON].
click_close_folder_img.demo	Napsauttamalla [ICON] suljetaan kansio [B_NAME].
click_close_folder_img.prac	Sulje kansio [B_NAME] napsauttamalla [ICON].
click_open_folder_img.demo	Napsauttamalla [ICON] avataan kansio [B_NAME].
click_open_folder_img.prac	Avaa kansio [B_NAME] napsauttamalla [ICON].
click_select_element_img.demo	Napsauttamalla [ICON] valitaan elementti [B_NAME].
click_select_element_img.prac	Valitse elementti [B_NAME] napsauttamalla [ICON].
click_scroll_down.demo	Vierityspalkilla vieritetään alaspäin.
click_scroll_down.prac	Vieritä vierityspalkin avulla alaspäin
dblclick_select_entry.demo	Kaksoisnapsauttamalla [B_NAME] kirjaus valitaan.
dblclick_select_entry.prac	Valitse kirjaus [B_NAME] kaksoisnapsautuksella.
dblclick_select_date.demo	[B_NAME] valitaan.
dblclick_select_date.prac	Valitse [B_NAME].
dblclick_start_transaction.demo	Kaksoisnapsauttamalla käynnistetään tapahtuma [B_NAME].
dblclick_start_transaction.prac	Käynnistä tapahtuma [B_NAME] kaksoisnapsauttamalla <br>tai<br>anna tapahtumakoodi [B_TCODE] ja vahvista Enter-painikkeella.
click_close_group.demo	Ryhmä [B_NAME] suljetaan.
click_close_group.prac	Sulje ryhmä [B_NAME].
click_open_group.demo	Ryhmä [B_NAME] avataan.
click_open_group.prac	Avaa ryhmä [B_NAME].
select.demo	Kohtaan [B_NAME] valitaan [B_SELECTED].
select.prac	Valitse kohtaan [B_NAME] [B_SELECTED].
input_text.demo	Kenttä [B_NAME] täytetään.
input_text.prac	Anna [B_INPUT] kenttään [B_NAME].
input_text_value.demo	Kenttään [B_NAME] annetaan nyt [B_INPUT].
input_text_value.prac	Anna [B_INPUT] kenttään [B_NAME].
input_tab_enter_button.demo
input_tab_enter_button.prac	<br>Vahvista annettu tieto painamalla <b>Tab-</b> tai <b>Enter-painiketta</b> tai napsauttamalla <b>vastaavaa painiketta</b>.
input_tab_enter.demo
input_tab_enter.prac	<br>Vahvista annettu tieto painamalla <b>Tab-</b> tai <b>Enter-painiketta</b>.
input_enter_button.demo
input_enter_button.prac	<br>Vahvista annettu tieto painamalla <b>Enter-painiketta</b> tai napsauttamalla <b>vastaavaa painiketta</b>.
input_tab.demo
input_tab.prac	<br>Vahvista annettu tieto painamalla <b>Tab-painiketta</b>.
input_enter.demo
input_enter.prac	<br>Vahvista annettu tieto painamalla <b>Enter-painiketta</b>.
input_button.demo
input_button.prac	<br>Vahvista annettu tieto <b>napsauttamalla vastaavaa painiketta</b>.
click_select.demo	[B_NAME] valitaan nyt.
click_select.prac	Valitse [B_NAME].
click_show_value_help_button.demo	Napsauttamalla tekstikenttää [B_NAME] avataan arvoapu.
click_show_value_help_button.prac	Avaa arvoapu napsauttamalla tekstikenttää [B_NAME].
click_scroll_horizontal.demo	Vieritetään oikealle...
click_scroll_horizontal.prac	Vieritä oikealle.
click_scroll_vertical.demo	Vieritetään alaspäin...
click_scroll_vertical.prac	Vieritä alaspäin.
click_img_expand.demo	Navigaatioalueen suurentamiseksi napsautetaan [ICON].
click_img_expand.prac	Suurenna navigaatioaluetta napsauttamalla [ICON].
click_img_collapse.demo	Navigaatioalueen pienentämiseksi napsautetaan [ICON].
click_img_collapse.prac	Pienennä navigaatioaluetta napsauttamalla [ICON].
click_navrow.demo	Navigaatiorivillä valitaan [B_NAME].
click_navrow.prac	Avaa [B_NAME] navigaatioriviltä.
click_navrow2.demo	Toisella navigaatiorivillä valitaan [B_NAME].
click_navrow2.prac	Avaa [B_NAME] toiselta navigaatioriviltä.
click_open_context_menu.demo	[B_NAME] -kontekstivalikko avataan.
click_open_context_menu.prac	Avaa [B_NAME] -kontekstivalikko.
click_radio_select.demo	[B_NAME] valitaan.
click_radio_select.prac	Valitse [B_NAME].
click_select_img.demo	[B_ICON_NAME] valitaan.
click_select_img.prac	Valitse [B_ICON_NAME].
click_open_form_view.demo	Painamalla [B_ICON_NAME] vaihdetaan lomakenäyttöön.
click_open_form_view.prac	Vaihda lomakenäyttöön painamalla [B_ICON_NAME].
history_select.demo	[B_NAME] valitaan historiasta.
history_select.prac	Valitse [B_NAME] historiasta.
click_page_up_img.demo	Napsauttamalla [B_ICON] vieritetään yksi sivu ylöspäin.
click_page_up_img.prac	Vieritä yksi sivu ylöspäin napsauttamalla [B_ICON].
click_page_down_img.demo	Napsauttamalla [B_ICON] vieritetään yksi sivu alaspäin.
click_page_down_img.prac	Vieritä yksi sivu alaspäin napsauttamalla [B_ICON].
click_page_top_img.demo	Napsauttamalla [B_ICON] vieritetään alkuun.
click_page_top_img.prac	Vieritä alkuun napsauttamalla [B_ICON].
click_page_bottom_img.demo	Napsauttamalla [B_ICON] vieritetään loppuun.
click_page_bottom_img.prac	Vieritä loppuun napsauttamalla [B_ICON].
click_sort_by_column.demo	Lajittelu tapahtuu sarakkeen [B_NAME] mukaisesti.
click_sort_by_column.prac	Lajittele sarakkeen [B_NAME] mukaisesti.
click_select_date.demo	[B_NAME] valitaan.
click_select_date.prac	Valitse [B_NAME].
click_close_card_img.demo	Napsauttamalla [ICON] kortti suljetaan.
click_close_card_img.prac	Napsauta [ICON] sulkeaksesi kortin.
click_select_function_img.demo	Napsauttamalla [ICON] valitaan toiminto [B_NAME].
click_select_function_img.prac	Napsauta [ICON] valitaksesi toiminnon [B_NAME].
click_hide_treeview.demo	Napsauttamalla [ICON] häivytetään puunäyttö.
click_hide_treeview.prac	Häivytä puunäyttö napsauttamalla [ICON].
click_show_treeview.demo	Napsauttamalla [ICON] tuodaan puunäyttö esiin.
click_show_treeview.prac	Tuo puunäyttö esiin napsauttamalla [ICON].
click_mark_transaction.demo	Napsauttamalla [B_NAME] tapahtuma merkitään.
click_mark_transaction.prac	Merkitse tapahtuma [B_NAME] yhdellä napsautuksella.
dblclick_select_element.demo	Kaksoisnapsautuksella valitaan elementti [B_NAME].
dblclick_select_element.prac	Valitse elementti [B_NAME] kaksoisnapsautuksella.
please_note.demo	Huomaa seuraavaa: [B_NAME].
please_note.prac	Huomaa seuraavaa: [B_NAME].
click_open_value_help_img.demo	Napsauttamalla <b>Syöttöapua</b> [ICON] saat pätevät arvot sisältävän valintaluettelon.
click_open_value_help_img.prac	Napsauta <b>syöttöapua</b> [ICON] saadaksesi pätevät arvot sisältävän valintaluettelon.
click_open_selection.demo	Napsauttamalla [ICON] saat valintaluettelon.
click_open_selection.prac	Napsauta [ICON] saadaksesi valintaluettelon.
click_mark_entry.demo	Napsauttamalla kirjausta [B_NAME] se merkitään.
click_mark_entry.prac	Merkitse kirjaus [B_NAME] napsauttamalla.
click_mark_entry_img.demo	Napsauttamalla kirjausta [ICON] se merkitään.
click_mark_entry_img.prac	Valitse kirjaus [ICON] napsauttamalla.
click_menu_select_img.demo	Napsauttamalla valikkokohtaa [ICON] se suoritetaan.
click_menu_select_img.prac	Valitse valikkokohtaa [ICON] suorittaaksesi sen.
click_open_menu_img.demo	Napsauttamalla valikkoa [ICON] se avataan.
click_open_menu_img.prac	Napsauta valikkoa [ICON] avataksesi sen.
click_select_card_img.demo	Napsauttamalla rekisterikorttia [ICON] se valitaan.
click_select_card_img.prac	Valitse rekisterikorttia [ICON] valitaksesi sen.
dblclick_select_line.demo	Kaksoisnapsauttamalla painiketta [NAME] rivi merkitään.
dblclick_select_line.prac	Kaksoisnapsauta painiketta [NAME] merkitäksesi rivin.
click_activate_edit.demo	Napsauttamalla syöttökenttää [B_NAME] se aktivoidaan.
click_activate_edit.prac	Napsauta syöttökenttää [B_NAME] aktivoidaksesi sen.
dblclick_activate_edit.demo	Kaksoisnapsauttamalla syöttökenttää [B_NAME] se aktivoidaan.
dblclick_activate_edit.prac	Kaksoisnapsauta syöttökenttää [B_NAME] aktivoidaksesi sen.
dblclick_open_folder_img.demo	Kaksoisnapsauttamalla symbolia [ICON] avataan kansio [B_NAME].
dblclick_open_folder_img.prac	Avaa kansio [B_NAME] kaksoisnapsauttamalla symbolia [ICON].
click_open_folder.demo	Napsauttamalla <b>’Avaa kansio'</b> -symbolia kansio [B_NAME] avataan.
click_open_folder.prac	Avaa kansio [B_NAME] napsauttamalla <b>’Avaa kansio'</b> -symbolia.
dblclick_open_folder.demo	Kaksoisnapsauttamalla <b>’Avaa kansio'</b> -symbolia kansio [B_NAME] avataan.
dblclick_open_folder.prac	Avaa kansio [B_NAME] kaksoisnapsauttamalla <b>’Avaa kansio'</b> -symbolia.
click_close_folder.demo	Napsauttamalla <b>’Sulje kansio'</b> -symbolia kansio [B_NAME] suljetaan.
click_close_folder.prac	Sulje kansio [B_NAME] napsauttamalla <b>’Sulje kansio'</b> -symbolia.
drag_scroll_hor.demo	Napsauttamalla ja vetämällä <b>Vierityspalkkia</b> haluttu alue näytetään.
drag_scroll_hor.prac	Napsauta ja vedä <b>vaakavierityspalkkia</b> vierittääksesi.
drag_scroll_vert.demo	Napsauttamalla ja vetämällä <b>Vierityspalkkia</b> haluttu alue näytetään.
drag_scroll_vert.prac	Napsauta ja vedä <b>pystyvierityspalkkia</b> vierittääksesi.
click_scroll.demo	Napsauttamalla <b>Vierityspainiketta</b> [NAME] haluttu alue näytetään.
click_scroll.prac	Vieritä napsauttamalla <b>Vierityspainiketta</b> [NIMI].
click_scroll_page_left.demo	Napsauttamalla <b>Vieritysaluetta</b> haluttu alue näytetään.
click_scroll_page_left.prac	Napsauta <b>vierityspalkin vasenta aluetta</b> vierittääksesi.
click_scroll_page_right.demo	Napsauttamalla <b>Vieritysaluetta</b> haluttu alue näytetään.
click_scroll_page_right.prac	Napsauta <b>vierityspalkin oikeaa aluetta</b> vierittääksesi.
click_scroll_page_up.demo	Napsauttamalla <b>Vieritysaluetta</b> haluttu alue näytetään.
click_scroll_page_up.prac	Napsauta <b>vierityspalkin yläpuolella olevaa aluetta</b> vierittääksesi.
click_scroll_page_down.demo	Napsauttamalla <b>Vieritysaluetta</b> haluttu alue näytetään.
click_scroll_page_down.prac	Napsauta <b>vierityspalkin alapuolella olevaa aluetta</b> vierittääksesi.
rclick_context.demo	Napsauttamalla oikeaa hiiripainiketta kohdassa [B_NAME] avataan kontekstivalikko.
rclick_context.prac	Napsauta [B_NAME] oikealla hiiripainikkeella.
dblclick_img.demo	Kohtaa [ICON] napsautetaan kahdesti.
dblclick_img.prac	Kaksoisnapsauta kohtaa [ICON].
keypress.demo	Anna [B_KEY].
keypress.prac	Anna [B_KEY].
item.close_folder	Sulje kansio
item.open_folder	Avaa kansio
item.enter_key	Enter
item.tab_key	Tab
item.vscroll	pystyvierityspalkki
item.hscroll	vaakavierityspalkki
item.close_window	Sulje ikkuna
item.value_help	Arvovalinta
item.scroll	Vierityspalkki
item.back_btn	Takaisin
item.save_btn	Tallenna
item.scroll_area	Vieritysalue
input_text_value_tpcd.demo	[B_INPUT] is now entered in the <b>Transaction-Field</b>.
input_text_value_tpcd.prac	Enter [B_INPUT] in the <b>Transaction-Field</b>.
drag_img.demo	Drag [B_NAME_ICON].
drag_img.prac	Drag [B_NAME_ICON].
drop_img.demo	Drop on [B_NAME_ICON].
drop_img.prac	Drop on [B_NAME_ICON].
click_combobtn_tpcd.demo	Clicking on [ICON] of the <b>Transaction Field</b> opens a list of already executed transactions.
click_combobtn_tpcd.prac	Click on [ICON] of the <b>Transaction Field</b> to open the list of already executed transactions.
docQuizzesTitle	Quiz Evaluation
docQuizzesInformation	information:
docQuizzesScorePassed	necessary score:
docQuizzesScoreAchieved	achieved score:
docQuizzesScoreMax	maximum score:
dblclick_mark_entry_img.demo	Double-clicking on the entry [ICON] selects it.
dblclick_mark_entry_img.prac	Select the entry [ICON] by double-clicking it.
