input_text.demo	Kotak [B_NAME] diisi.	
input_text.prac	Masukkanlah [B_INPUT] dalam kotak [B_NAME].	
input_text_value.demo	[B_INPUT] sekarang dimasukkan dalam kotak [B_NAME].	
input_text_value.prac	Masukkanlah [B_INPUT] dalam kotak [B_NAME].	
input_tab_enter_button.demo		
input_tab_enter_button.prac	<br>Konfirmasikan entri Anda dengan menekan <b>Tab</b> atau <b>tombol Enter</b> atau mengklik <b>tombol yang sesuai</b>.	
input_tab_enter.demo		
input_tab_enter.prac	<br>Konfirmasikan entri Anda dengan menekan <b>Tab</b> atau <b>tombol Enter</b>.	
input_enter_button.demo		
input_enter_button.prac	<br>Konfirmasikan entri Anda dengan menekan <b>tombol Enter</b> atau mengklik <b>tombol yang sesuai</b>.	
input_tab.demo		
input_tab.prac	<br>Konfirmasikan entri Anda dengan menekan <b>tombol Tab</b>.	
input_enter.demo		
input_enter.prac	<br>Konfirmasikan entri Anda dengan menekan <b>tombol Enter</b>.	
input_button.demo		
input_button.prac	<br>Konfirmasikan entri Anda dengan <b>mengklik tombol yang sesuai</b>.	
click_select.demo	[B_NAME] sekarang dipilih.	
click_select.prac	Pilihlah [B_NAME].	
click_show_value_help_button.demo	Mengklik dalam kotak [B_NAME] akan membuka Bantuan untuk nilai.	
click_show_value_help_button.prac	Buka Bantuan untuk nilai dengan mengklik dalam kotak teks [B_NAME].	
click_scroll_horizontal.demo	Menggulung ke kanan	
click_scroll_horizontal.prac	Gulunglah ke kanan.	
click_scroll_vertical.demo	Menggulung ke bawah ...	
click_scroll_vertical.prac	Gulunglah ke bawah.	
click_img_expand.demo	Untuk memperbesar dalam bidang navigasi klik [ICON].	
click_img_expand.prac	Perbesar bidang navigasi dengan mengklik [ICON].	
click_img_collapse.demo	Untuk memperkecil bidang navigasi klik [ICON].	
click_img_collapse.prac	Perkecil bidang navigasi dengan mengklik [ICON].	
click_navrow.demo	[B_NAME] dipilih pada baris navigasi.	
click_navrow.prac	Bukalah [B_NAME] dari baris navigasi.	
click_navrow2.demo	[B_NAME] dipilih pada baris navigasi kedua.	
click_navrow2.prac	Bukalah [B_NAME] dari baris navigasi kedua.	
click_open_context_menu.demo	Menu pintasan [B_NAME] terbuka.	
click_open_context_menu.prac	Buka menu pintasan [B_NAME].	
click_radio_select.demo	[B_NAME] dipilih.	
click_radio_select.prac	Pilih [B_NAME].	
click_select_img.demo	[B_ICON_NAME] dipilih.	
click_select_img.prac	Pilih [B_ICON_NAME].	
click_open_form_view.demo	[B_ICON_NAME] berpindah ke tampilan formulir.	
click_open_form_view.prac	Gunakan [B_ICON_NAME] untuk pindah ke tampilan formulir.	
history_select.demo	[B_NAME] dipilih dari dokumen terkini.	
history_select.prac	Pilih [B_NAME] dari dokumen terkini.	
click_page_up_img.demo	Mengklik [B_ICON] akan menggulung satu halaman ke atas.	
click_page_up_img.prac	Gulung satu halaman ke atas dengan mengklik [B_ICON].	
click_page_down_img.demo	Mengklik [B_ICON] akan menggulung satu halaman ke bawah.	
click_page_down_img.prac	Gulung satu halaman ke bawah dengan mengklik [B_ICON].	
click_page_top_img.demo	Mengklik [B_ICON] akan menggulung ke permulaan.	
click_page_top_img.prac	Gulung ke permulaan dengan mengklik [B_ICON].	
click_page_bottom_img.demo	Mengklik [B_ICON] akan menggulung ke akhir.	
click_page_bottom_img.prac	Gulung ke akhir dengan mengklik [B_ICON].	
click_sort_by_column.demo	Pengurutan adalah menurut kolom [B_NAME].	
click_sort_by_column.prac	Urutkan menurut kolom [B_NAME].	
click_select_date.demo	[B_NAME] dipilih.	
click_select_date.prac	Pilih [B_NAME].	
click_close_card_img.demo	Mengklik [ICON] akan menutup kartu.	
click_close_card_img.prac	Klik [ICON] untuk menutup kartu.	
click_select_function_img.demo	Mengklik [ICON] akan memilih fungsi [B_NAME].	
click_select_function_img.prac	Klik [ICON] untuk memilih fungsi [B_NAME].	
click_hide_treeview.demo	Mengklik [ICON] akan menyembunyikan tampilan pohon.	
click_hide_treeview.prac	Sembunyikan tampilan pohon dengan mengklik [ICON].	
click_show_treeview.demo	Mengklik [ICON] akan memperlihatkan tampilan pohon.	
click_show_treeview.prac	Perlihatkan tampilan pohon dengan mengklik [ICON].	
click_mark_transaction.demo	Mengklik [B_NAME] akan memilih transaksi terkait.	
click_mark_transaction.prac	Pilih transaksi [B_NAME] dengan satu klik.	
dblclick_select_element.demo	Elemen [B_NAME] dipilih dengan mengkliknya dua kali.	
dblclick_select_element.prac	Pilih elemen [B_NAME] dengan mengkliknya dua kali.	
please_note.demo	Perhatikanlah hal-hal berikut ini: [B_NAME].	
please_note.prac	Perhatikan hal-hal berikut ini: [B_NAME].	
click_open_value_help_img.demo	Mengklik <b>Bantuan Entri</b> [ICON] akan membuka daftar pilihan dengan nilai-nilai yang valid.	
click_open_value_help_img.prac	Klik <b>Bantuan Entri</b> [ICON] untuk membuka daftar pilihan dengan nilai-nilai yang valid.	
click_open_selection.demo	Mengklik tombol [ICON] pada daftar [B_NAME] akan membuatnya terbuka.	
click_open_selection.prac	Klik tombol [ICON] pada daftar [B_NAME] untuk membukanya.	
click_mark_entry.demo	Mengklik entri [B_NAME] akan membuatnya terpilih.	
click_mark_entry.prac	Pilih entri [B_NAME] dengan mengkliknya.	
click_mark_entry_img.demo	Mengklik entri [ICON] akan membuatnya terpilih.	
click_mark_entry_img.prac	Pilih entri [ICON] dengan mengkliknya.	
dblclick_mark_entry_img.demo	Mengklik dua kali entri [ICON] akan membuatnya terpilih.	
dblclick_mark_entry_img.prac	Pilih entri [ICON] dengan mengkliknya dua kali.	
click_menu_select_img.demo	Mengklik butir menu [ICON] akan membuatnya dilaksanakan.	
click_menu_select_img.prac	Klik butir menu [ICON] untuk melaksanakannya.	
click_open_menu_img.demo	Mengklik menu [ICON] akan membuatnya terbuka.	
click_open_menu_img.prac	Klik menu [ICON] untuk membukanya.	
click_select_card_img.demo	Mengklik tab [ICON] akan membuatnya terpilih.	
click_select_card_img.prac	Klik tab [ICON] untuk memilihnya.	
dblclick_select_line.demo	Mengklik dua kali tombol [NAME] akan memilih baris terkait.	
dblclick_select_line.prac	Klik dua kali tombol [NAME] untuk memilih baris terkait.	
click_activate_edit.demo	Mengklik dalam kotak pemasukan [B_NAME] akan membuatnya teraktifkan.	
click_activate_edit.prac	Klik dalam kotak pemasukan [B_NAME] untuk mengaktifkannya.	
dblclick_activate_edit.demo	Mengklik dua kali dalam kotak pemasukan [B_NAME] akan membuatnya teraktifkan.	
dblclick_activate_edit.prac	Klik dua kali dalam kotak pemasukan [B_NAME] untuk mengaktifkannya.	
dblclick_open_folder_img.demo	Mengklik dua kali ikon [ICON]  akan membuka folder [B_NAME].	
dblclick_open_folder_img.prac	Buka folder [B_NAME] dengan mengklik dua kali ikon [ICON].	
click_open_folder.demo	Mengklik ikon <b>'Buka folder'</b> akan membuka folder [B_NAME].	
click_open_folder.prac	Buka folder [B_NAME] dengan mengklik ikon <b>'Buka folder'</b>.	
dblclick_open_folder.demo	Mengklik dua kali ikon <b>'Buka folder'</b> akan membuka folder [B_NAME].	
dblclick_open_folder.prac	Buka folder [B_NAME] dengan mengklik dua kali ikon <b>'Buka folder'</b>.	
click_close_folder.demo	Mengklik ikon <b>'Tutup folder'</b> akan menutup folder [B_NAME].	
click_close_folder.prac	Tutup folder [B_NAME] dengan mengklik ikon <b>'Tutup folder'</b>.	
drag_scroll_hor.demo	Mengklik dan menyeret <b>bilah penggulung</b> akan membuat bidang yang diinginkan muncul.	
drag_scroll_hor.prac	Klik dan seret <b>bilah penggulung horizontal</b> untuk menggulung.	
drag_scroll_vert.demo	Mengklik dan menyeret <b>bilah penggulung</b> akan membuat bidang yang diinginkan muncul.	
drag_scroll_vert.prac	Klik dan seret <b>bilah penggulung vertikal</b> untuk menggulung.	
click_scroll.demo	Mengklik <b>tombol penggulung</b> [NAME] akan membuat bidang yang diinginkan muncul.	
click_scroll.prac	Gulung dengan mengklik <b>tombol penggulung</b> [NAME].	
click_scroll_page_left.demo	Mengklik dalam <b>bidang penggulung</b> akan membuat bidang yang diinginkan muncul.	
click_scroll_page_left.prac	Klik dalam <b>bidang di sebelah kiri bilah penggulung</b> untuk menggulung.	
click_scroll_page_right.demo	Mengklik dalam <b>bidang penggulung</b> akan membuat bidang yang diinginkan muncul.	
click_scroll_page_right.prac	Klik dalam <b>bidang di sebelah kanan bilah penggulung</b> untuk menggulung.	
click_scroll_page_up.demo	Mengklik dalam <b>bidang penggulung</b> akan membuat bidang yang diinginkan muncul.	
click_scroll_page_up.prac	Klik dalam <b>bidang di atas bilah penggulung</b> untuk menggulung.	
click_scroll_page_down.demo	Mengklik dalam <b>bidang penggulung</b> akan membuat bidang yang diinginkan muncul.	
click_scroll_page_down.prac	Klik dalam <b>bidang di bawah bilah penggulung</b> untuk menggulung.	
rclick_context.demo	Mengklik-kanan [B_NAME] dengan mouse akan membuka sebuah menu pintasan.	
rclick_context.prac	Kliklah [B_NAME] dengan tombol mouse kanan.	
dblclick_img.demo	[ICON] diklik dua kali.	
dblclick_img.prac	Kliklah dua kali [ICON].	
keypress.demo	Masukkanlah [B_KEY].	
keypress.prac	Masukkanlah [B_KEY].	
item.close_folder	Tutup folder	
item.open_folder	Buka folder	
item.enter_key	Enter	
item.tab_key	Tab	
item.vscroll	Bilah penggulung vertikal	
item.hscroll	Bilah penggulung horizontal	
item.close_window	Tutup jendela	
item.value_help	Pemilihan nilai	
item.scroll	Bilah penggulung	
item.back_btn	Kembali	
item.save_btn	Simpan	
item.scroll_area	Bidang penggulung	
drag_img.demo	Seret [B_NAME_ICON].	
drag_img.prac	Seret [B_NAME_ICON].	
drop_img.demo	Letakkan pada [B_NAME_ICON].	
drop_img.prac	Letakkan pada [B_NAME_ICON].	
dblclick_start_transaction2.demo	Transaksi [B_NAME] dimulai dengan mengkliknya dua kali.	
dblclick_start_transaction2.prac	Mulai transaksi [B_NAME] dengan mengkliknya dua kali.	
docSAPMenuPath	Jalur Menu	
docSAPTransaction	Transaksi	
docTableHeaderStep	Langkah	
docTableHeaderAction	Tindakan	
docTableHeaderInput	Masukan	
docTableHeaderExpectedResults	Hasil yang Diharapkan	
docTableHeaderPassed	Lulus	
docTableHeaderFailed	Gagal	
docQuizzesTitle	Evaluasi Kuis	
docQuizzesInformation	informasi:	
docQuizzesScorePassed	skor yang dibutuhkan:	
docQuizzesScoreAchieved	skor yang dicapai:	
docQuizzesScoreMax	skor maksimum:	
input_text_value_tpcd.demo	[B_INPUT] sekarang dimasukkan dalam <b>Kotak-Isian-Transaksi</b>.	
input_text_value_tpcd.prac	Masukkan [B_INPUT] dalam <b>Kotak-Isian-Transaksi</b>.	
enter_img.demo	Gerakkan mouse pada [B_NAME_ICON].	
enter_img.prac	Gerakkan mouse pada [B_NAME_ICON].	
click_combobtn_tpcd.demo	Mengklik [ICON] pada <b>Kotak-Isian Transaksi</b> akan membuka suatu daftar transaksi yang telah dilakukan.	
click_combobtn_tpcd.prac	Kik [ICON] pada <b>Kotak-Isian Transaksi</b> untuk membuka daftar transaksi yang telah dilakukan.	
