click.demo	Kliknij teraz na [B_NAME].
dblclick_activate_edit.demo	Podwójne kliknięcie w pole wpisywania [B_NAME] aktywuje je.
dblclick_activate_edit.prac	"Kliknij podwójnie w pole wpisywania [B_NAME], aby je aktywować."
dblclick_open_folder_img.demo	Podwójne kliknięcie na symbol [ICON] otwiera folder [B_NAME].
dblclick_open_folder_img.prac	Otwórz folder [B_NAME] podwójnie klikając na symbol [ICON].
click_open_folder.demo	Kliknięcie na symbol <b>'Otwórz folder'</b> otwiera folder [B_NAME].
click_open_folder.prac	Otwórz folder [B_NAME] klikając na symbol <b>'Otwórz folder'</b>.
dblclick_open_folder.demo	Podwójne kliknięcie na symbol <b>'Otwórz folder'</b> otwiera folder [B_NAME].
dblclick_open_folder.prac	Otwórz folder [B_NAME] klikając podwójnie na symbol <b>'Otwórz folder'</b>.
click_close_folder.demo	Kliknięcie na symbol <b>'Zamknij folder'</b> zamyka folder [B_NAME].
click_close_folder.prac	Zamknij folder [B_NAME] klikając na symbol <b>'Zamknij folder'</b>.
drag_scroll_hor.demo	Poprzez ciągnięcie klikniętego <b>paska przewijania</b> uwidoczniony zostaje pożądany obszar.
drag_scroll_hor.prac	"Kliknij i ciągnij <b>poziomy pasek przewijania</b>, aby przewinąć ekran."
drag_scroll_vert.demo	Poprzez ciągnięcie klikniętego <b>paska przewijania</b> uwidoczniony zostaje pożądany obszar.
drag_scroll_vert.prac	Kliknij i ciągnij <b>pionowy pasek przewijania</b> aby przewinąć ekran.
click_scroll.demo	Kliknięcie na <b>przycisk przewijania ekranu</b> [NAME] uwidacznia pożądany obszar.
click_scroll.prac	Przewiń ekran klikając na <b>przycisk przewijania</b> [NAME].
click_scroll_page_left.demo	Kliknięcie w <b>pole przewijania ekranu</b> uwidacznia pożądany obszar.
click_scroll_page_left.prac	"Kliknij w <b>pole na lewo od paska przewijania</b>, aby przewinąć ekran."
click_scroll_page_right.demo	Kliknięcie w <b>pole przewijania ekranu</b> uwidacznia pożądany obszar.
click_scroll_page_right.prac	"Kliknij w <b>pole na prawo od paska przewijania</b>, aby przewinąć ekran."
click_scroll_page_up.demo	Kliknięcie w <b>pole przewijania ekranu</b> uwidacznia pożądany obszar.
click_scroll_page_up.prac	"Kliknij w <b>pole powyżej paska przewijania</b>, aby przewinąć ekran."
click_scroll_page_down.demo	Kliknięcie w <b>pole przewijania ekranu</b> uwidacznia pożądany obszar.
click_scroll_page_down.prac	"Kliknij w <b>pole poniżej paska przewijania</b>, aby przewinąć ekran."
rclick_context.demo	Kliknięcie prawym przyciskiem myszki na [B_NAME] otwiera menu kontekstowe.
rclick_context.prac	Proszę kliknąć prawym przyciskiem myszki na [B_NAME].
dblclick_img.demo	Podwójne kliknięcie na [ICON].
dblclick_img.prac	Proszę podwójnie kliknąć na [ICON].
keypress.demo	Proszę wprowadzić [B_KEY].
keypress.prac	Proszę wprowadzić [B_KEY].
item.close_folder	Zamykanie folderu
item.open_folder	Otwieranie folderu
item.enter_key	Enter
item.tab_key	Tab
item.vscroll	pionowy pasek przewijania ekranu
item.hscroll	poziomy pasek przewijania ekranu
item.close_window	Zamykanie okna
item.value_help	Wybór wartości
item.scroll	Pasek przewijania ekranu
item.back_btn	Z powrotem 
item.save_btn	Zapis
item.scroll_area	Pole przewijania ekranu
input_text_value_tpcd.demo	[B_INPUT] is now entered in the <b>Transaction-Field</b>.
input_text_value_tpcd.prac	Enter [B_INPUT] in the <b>Transaction-Field</b>.
drag_img.demo	Drag [B_NAME_ICON].
drag_img.prac	Drag [B_NAME_ICON].
drop_img.demo	Drop on [B_NAME_ICON].
drop_img.prac	Drop on [B_NAME_ICON].
click_combobtn_tpcd.demo	Clicking on [ICON] of the <b>Transaction Field</b> opens a list of already executed transactions.
click_combobtn_tpcd.prac	Click on [ICON] of the <b>Transaction Field</b> to open the list of already executed transactions.
docQuizzesTitle	Quiz Evaluation
docQuizzesInformation	information:
docQuizzesScorePassed	necessary score:
docQuizzesScoreAchieved	achieved score:
docQuizzesScoreMax	maximum score:
dblclick_mark_entry_img.demo	Double-clicking on the entry [ICON] selects it.
dblclick_mark_entry_img.prac	Select the entry [ICON] by double-clicking it.
