click.demo	Кликнете сега върху [B_NAME].
dblclick_start_transaction.prac	Стартирайте трансакцията [B_NAME] с двоен клик <br>или<br>дайте трансакционкода [B_TCODE] и потвърдете с клавиша Enter.
click_close_group.demo	Групата [B_NAME] се затваря.
click_close_group.prac	Затворете моля групата [B_NAME].
click_open_group.demo	Групата [B_NAME] се отваря.
click_open_group.prac	Отворете моля групата [B_NAME].
select.demo	Като [B_NAME] се избира [B_SELECTED].
select.prac	Изберете като [B_NAME] моля [B_SELECTED].
input_text.demo	Попълва се полето [B_NAME].
input_text.prac	Дайте моля [B_INPUT] в полето [B_NAME].
input_text_value.demo	В полето [B_NAME] се нанася сега [B_INPUT].
input_text_value.prac	Дайте моля [B_INPUT] в полето [B_NAME].
input_tab_enter_button.demo
input_tab_enter_button.prac	<br>Потвърдете импута с <b>Tab-</b> oder <b>Enter-клавиша</b> или кликнете върху <b>съответния бутон</b>.
input_tab_enter.demo
input_tab_enter.prac	<br>Потвърдете импута с <b>Tab-</b> oder <b>Enter-клавиша</b>.
input_enter_button.demo
input_enter_button.prac	<br>Потвърдете импута с <b>Enter-клавиша</b> или кликнете върху <b>съответния бутон</b>.
input_tab.demo
input_tab.prac	<br>Потвърдете импута с <b>Tab-клавиша</b>.
input_enter.demo
input_enter.prac	<br>Потвърдете импута с <b>Enter-клавиша</b>.
input_button.demo
input_button.prac	<br>Потвърдете импута с <b>клик върху съответния бутон</b>.
click_select.demo	[B_NAME] се избира сега.
click_select.prac	Изберете моля [B_NAME].
click_show_value_help_button.demo	С клик в текстовото поле [B_NAME] отваряте помощта за стойността на параметрите.
click_show_value_help_button.prac	Отворете помощта за стойността на параметрите с клик в текстовото поле [B_NAME].
click_scroll_horizontal.demo	Скролва се надясно…
click_scroll_horizontal.prac	Моля скролвайте надясно.
click_scroll_vertical.demo	Скролва се надолу…
click_scroll_vertical.prac	Моля скролвайте надолу.
click_img_expand.demo	За увеличаване на навигационната област се кликва върху [ICON].
click_img_expand.prac	Увеличете навигационната област като кликнете върху [ICON].
click_img_collapse.demo	За намаляване на навигационната област се кликва върху [ICON].
click_img_collapse.prac	Намалете навигационната област като кликнете върху [ICON].
click_navrow.demo	В навигационния ред се избира [B_NAME].
click_navrow.prac	Отворете моля [B_NAME] от навигационния ред.
click_navrow2.demo	Във втория навигационен ред се избира [B_NAME].
click_navrow2.prac	Отворете моля [B_NAME] от втория навигационен ред.
click_open_context_menu.demo	Контекстменюто от [B_NAME] се отваря.
click_open_context_menu.prac	Отворете контекстменюто от [B_NAME].
click_radio_select.demo	[B_NAME] се избира.
click_radio_select.prac	Изберете [B_NAME].
click_select_img.demo	[B_ICON_NAME] се избира.
click_select_img.prac	Изберете [B_ICON_NAME].
click_open_form_view.demo	С [B_ICON_NAME] се превключва в изглед формуляр.
click_open_form_view.prac	Превключете с [B_ICON_NAME] в изглед формуляр.
history_select.demo	[B_NAME] се избира от хистърито.
history_select.prac	Изберете [B_NAME] от хистърито.
click_page_up_img.demo	С клик върху [B_ICON] една страница се скролва нагоре.
click_page_up_img.prac	Скролвайте една страница нагоре с клик върху [B_ICON].
click_page_down_img.demo	С клик върху [B_ICON] една страница се скролва надолу.
click_page_down_img.prac	Скролвайте една страница надолу с клик върху [B_ICON].
click_page_top_img.demo	С клик върху [B_ICON] се скролва в началото.
click_page_top_img.prac	Скролвайте в началото с клик върху [B_ICON].
click_page_bottom_img.demo	С клик върху [B_ICON] се скролва в края.
click_page_bottom_img.prac	Скролвайте в края с клик върху [B_ICON].
click_sort_by_column.demo	Сортира се по шпалта [B_NAME].
click_sort_by_column.prac	Сортирайте по шпалта [B_NAME].
click_select_date.demo	[B_NAME] се избира.
click_select_date.prac	Изберете [B_NAME].
click_close_card_img.demo	С клик върху [ICON] картата се затваря.
click_close_card_img.prac	Кликнете върху [ICON] за да затворите картата.
click_select_function_img.demo	С клик върху [ICON] избирате функцията [B_NAME].
click_select_function_img.prac	Кликнете върху [ICON] за да изберете функцията [B_NAME].
click_hide_treeview.demo	С кликване върху [ICON] се затваря изгледът като дърво.
click_hide_treeview.prac	Затворете изгледа като дърво с клик върху [ICON].
click_show_treeview.demo	С кликване върху [ICON] се отваря изгледът като дърво.
click_show_treeview.prac	Отворете изгледа като дърво с клик върху [ICON].
click_mark_transaction.demo	С клик върху [B_NAME] се маркира трансакцията.
click_mark_transaction.prac	Маркирайте трансакцията [B_NAME] с клик.
dblclick_select_element.demo	С двоен клик се избира елементът [B_NAME].
dblclick_select_element.prac	Изберете елемента [B_NAME] с двоен клик.
please_note.demo	Внимавайте върху следното: [B_NAME].
please_note.prac	Внимавайте върху следното: [B_NAME].
click_open_value_help_img.demo	С клик върху <b>инпут помощта</b> [ICON] ще получите списък с валидни стойности.
click_open_value_help_img.prac	Кликнете върху <b>инпут помощта</b> [ICON] за да получите списък с валидни стойности.
click_open_selection.demo	С клик върху [ICON] ще получите списъка.
click_open_selection.prac	Кликнете върху [ICON] за да получите списъка.
click_mark_entry.demo	С клик върху регистрацията [B_NAME] я маркирате.
click_mark_entry.prac	Маркирайте регистрацията [B_NAME] с клик.
click_mark_entry_img.demo	С клик върху регистрацията [ICON] я избирате.
click_mark_entry_img.prac	Изберете регистрацията [ICON] с клик.
click_menu_select_img.demo	С клик върху менюпункта [ICON] го излагате на показ.
click_menu_select_img.prac	Кликнете върху менюпункта [ICON] за да го изложите на показ.
click_open_menu_img.demo	С клик върху менюто [ICON] го отваряте.
click_open_menu_img.prac	Кликнете върху менюто [ICON] за да го отворите.
click_select_card_img.demo	С клик върху регистър картата [ICON] вие я избирате.
click_select_card_img.prac	Кликнете върху регистър картата [ICON] за да я изберете.
dblclick_select_line.demo	С двоен клик върху командната повърхност [NAME] вие маркирате реда.
dblclick_select_line.prac	Кликнете двойно върху командната повърхност [NAME] за да маркирате реда.
click_activate_edit.demo	С клик в инпут полето [B_NAME] вие го активирате.
click_activate_edit.prac	Кликнете в инпут полето [B_NAME] за да го активирате.
dblclick_activate_edit.demo	С двоен клик в инпут полето [B_NAME] вие го активирате.
dblclick_activate_edit.prac	Кликнете двойно в инпут полето [B_NAME] за да го активирате.
dblclick_open_folder_img.demo	С двоен клик върху символа [ICON] вие отваряте папката [B_NAME].
dblclick_open_folder_img.prac	Отворете папката [B_NAME] с двоен клик върху символа [ICON].
click_open_folder.demo	С клик върху символа <b>'отвори папката'</b> вие отваряте папката [B_NAME].
click_open_folder.prac	Отворете папката [B_NAME] чрез кликване върху символа <b>'отвори папката'</b>.
dblclick_open_folder.demo	С двоен клик върху символа <b>'отвори папката'</b> вие отваряте папката [B_NAME].
dblclick_open_folder.prac	Отворете папката [B_NAME] чрез двойно кликване върху символа <b>'отвори папката'</b>.
click_close_folder.demo	С клик върху символа <b>'затвори папката'</b> вие затваряте папката [B_NAME].
click_close_folder.prac	Затворете папката [B_NAME] с кликване върху символа <b>'затвори папката'</b>.
drag_scroll_hor.demo	С кликване и теглене на <b>скрол-плъзгача</b> желаната област става видима.
drag_scroll_hor.prac	Кликнете и теглете <b>хоризонталния скрол-плъзгач</b> за да скролвате.
drag_scroll_vert.demo	С кликване и теглене на <b>скрол-плъзгача</b> желаната област става видима.
drag_scroll_vert.prac	Кликнете и теглете <b>вертикалния скрол-плъзгач</b> за да скролвате.
click_scroll.demo	С кликване върху <b>скрол-командната повърхност</b> [NAME] желаната област става видима
click_scroll.prac	Скролвайте с кликване върху <b>скрол-командната повърхност</b> [NAME].
click_scroll_page_left.demo	С кликване в <b>скрол-областта</b> желаната област става видима.
click_scroll_page_left.prac	Кликнете в <b>областта вляво от скрол-плъзгача</b> за да скролвате.
click_scroll_page_right.demo	С кликване в <b>скрол-областта</b> желаната област става видима.
click_scroll_page_right.prac	Кликнете в <b>областта вдясно от скрол-плъзгача</b> за да скролвате.
click_scroll_page_up.demo	С кликване в <b>скрол-областта</b> желаната област става видима.
click_scroll_page_up.prac	Кликнете в <b>областта над скрол-плъзгача</b> за да скролвате.
click_scroll_page_down.demo	С кликване в <b>скрол-областта</b> желаната област става видима.
click_scroll_page_down.prac	Кликнете в <b>областта под скрол-плъзгача</b> за да скролвате.
rclick_context.demo	С кликване с десния клавиш на мишката върху [B_NAME] се отваря едно контекстменю.
rclick_context.prac	Кликнете моля върху [B_NAME] с десния клавиш на мишката.
dblclick_img.demo	Кликва се върху [ICON] двойно.
dblclick_img.prac	Моля кликнете двойно върху [ICON].
keypress.demo	Моля дайте [B_KEY].
keypress.prac	Моля дайте [B_KEY].
item.close_folder	Затвори папката.
item.open_folder	Отвори папката.
item.enter_key	Enter
item.tab_key	Tab
item.vscroll	Вертикален плъзгач
item.hscroll	Хоризонтален плъзгач
item.close_window	Затвори прозореца
item.value_help	Избор на параметри
item.scroll	Плъзгач
item.back_btn	Обратно
item.save_btn	Запомни
item.scroll_area	Област на скролване
input_text_value_tpcd.demo	[B_INPUT] is now entered in the <b>Transaction-Field</b>.
input_text_value_tpcd.prac	Enter [B_INPUT] in the <b>Transaction-Field</b>.
drag_img.demo	Drag [B_NAME_ICON].
drag_img.prac	Drag [B_NAME_ICON].
drop_img.demo	Drop on [B_NAME_ICON].
drop_img.prac	Drop on [B_NAME_ICON].
click_combobtn_tpcd.demo	Clicking on [ICON] of the <b>Transaction Field</b> opens a list of already executed transactions.
click_combobtn_tpcd.prac	Click on [ICON] of the <b>Transaction Field</b> to open the list of already executed transactions.
docQuizzesTitle	Quiz Evaluation
docQuizzesInformation	information:
docQuizzesScorePassed	necessary score:
docQuizzesScoreAchieved	achieved score:
docQuizzesScoreMax	maximum score:
dblclick_mark_entry_img.demo	Double-clicking on the entry [ICON] selects it.
dblclick_mark_entry_img.prac	Select the entry [ICON] by double-clicking it.
