# Base tokens	
BULLET;	• 
EXER_FAILDBLCLICK_HELP;	Ar dubultklikšķi iezīmētais lauks kļuva @{EXER_COLOR_ERROR}.@{NEWLINE}Visas dubultklikšķiem paredzētās pogas kļuva @{EXER_COLOR_DBLCLICK}.
EXER_FAILDBLCLICK0_HELP;	Nedrīkst iezīmēt ar dubultklikšķi.@{NEWLINE}Noklikšķinātais lauks kļuva @{EXER_COLOR_ERROR}.
EXER_FAILRCLICK_HELP;	"Ar peles labo pogu noklikšķinātais lauks kļuva @{EXER_COLOR_ERROR}.@{NEWLINE}Visas pogas, kurus var noklikšķināt ar peles labo pogu, kļuva @{EXER_COLOR_RCLICK}."
EXER_FAILRCLICK0_HELP;	Klikšķis ar peles labo pogu nav pieļaujams.@{NEWLINE}Noklikšķinātais lauks kļuva @{EXER_COLOR_ERROR}.
EXER_FAILKEY_HELP0;	Jūs nospiedāt nepareizo taustiņu.
EXER_FAILKEY_HELP1;	"Jūs nospiedāt ""@1_key_""."
EXER_FAILKEY_HELP2;	@{NEWLINE}Pieļaujamie funkciju taustiņi:@{NEWLINE}@1_keys_
EXER_HINT_ADDITIONALLY_VALID;	@{NEWLINE}@{NEWLINE}Pieļaujami arī:
EXER_HINT_CHANGABLE_MARKED;	@{NEWLINE}@{BULLET} Lauka izmainīšana (@{EXER_COLOR_CHANGE})
EXER_HINT_CLICK_MARKED;	@{NEWLINE}@{BULLET} Klikšķis (pogas ir @{EXER_COLOR_CLICK})
EXER_HINT_DBLCLICK_MARKED;	@{NEWLINE}@{BULLET} Dubultklikšķis (@{EXER_COLOR_DBLCLICK})
EXER_HINT_HELPCANCELS;	@{NEWLINE}(Norādījums: Ar šo Jūs zaudējat visus saņemtos punktus)
EXER_HINT_KEYS;	"@{NEWLINE}@{BULLET} Funkciju taustiņu nospiešana @{NEWLINE}""@1_keys_"""
EXER_HINT_ONLY_VALID;	@{NEWLINE}@{NEWLINE}Pieļaujami:
EXER_HINT_RCLICK_MARKED;	@{NEWLINE}@{BULLET} Klikšķis ar peles labo taustiņu (@{EXER_COLOR_RCLICK})
EXER_HINT_WOULDGOON;	@{NEWLINE}(Norādījums: Pretējā gadījumā tiek automātiski turpināts)
EXER_HINT_YOURINPUT;	"Jūs ievadījāt ""@1_input_"".@{NEWLINE}"

# StandardMacros.xml	
MSG_OPTIONFIELD_DESELECT;	"Lūdzu, atceliet opcijas ""@1"" izvēli!"
MSG_OPTIONFIELD_SELECT;	"Lūdzu, izvēlieties opciju ""@1"" vai atceliet tās izvēli!"
MSG_SCORE;	"Saņemto punktu skaits: ""@1""."
MSG_SINGLE_SELECT;	"Lūdzu, izvēlieties ierakstu ""@1""!"
MSG_TEXTINPUT;	"Lūdzu, ievadiet ""@1"" ievades laukā ""@2""!"
MSG_TRANSACTIONCODE;	"Lūdzu, ievadiet pareizo transakcijas kodu ""@1""!"

capDemoStart;	Demo-režīms 
msgDemoStart1;	"Demo-režīmā Jūs varat novērot lietošanas uzdevuma izpildīšanu. Vienkārši novērojiet demonstrēšanu, visi soļi tiek izpildīti automātiski."
msgDemoStart2;	Ar navigācijas izvēlnes palīdzību apakšējā malā Jūs varat pārtraukt vai izbeigt demonstrēšanu. Turklāt Jūs varat pāriet pie nākošā un atgriezties pie iepriekšējā soļa. 
msgDemoStop;	Demo-režīms tika pabeigts.

capConcurrentStart;	Prakses režīms
msgConcurrentStart1;	Prakses režīmā Jūs saņemat pamācību soli pa solim aplikācijas uzdevuma izpildīšanai.  
msgConcurrentStart2;	"Pēc katra soļa izpildīšanas demonstrēšana tiek pārtraukta, lai Jūs varētu izprast izpildīto soli.  "
msgConcurrentStop;	Prakses režīms tika pabeigts.

capTestStart;	Testa režīms 
msgTestStart1;	"Testa režīmā Jūs varat pārbaudīt savas zināšanas, patstāvīgi izpildot lietošanas uzdevumu. Izņemot datus, kas Jums jāievada, Jūs nesaņemsiet nekādus norādījumus darba procesam. Uzdevums ir sīki aprakstīts uzdevuma logā, kuru Jūs varat palielināt vai samazināt pēc vajadzības ar attiecīgās pamatizvēlnes pogas palīdzību.  "
msgTestStart2;	"Pēc testa pabeigšanas Jūs saņemat vērtējumu, pamatojoties uz veiksmīgi izpildītajiem soļiem. Šis vērtējums ir paredzēts tikai un vienīgi  pašnovērtēšanai, dati netiek saglabāti vai nosūtīti. "
msgTestStart3;	"Lūdzu, pildiet darbības ļoti rūpīgi, jo sistēmā tiek reģistrētas visas pareizrakstības kļūdas un nepareizo taustiņu nospiešana, kas negatīvi ietekmē Jūsu vērtējumu. Ja Jūs kāda soļa izpildīšanai pieprasāt palīdzību, Jūs zaudējat par šī soļa izpildīšanu paredzētos punktus. "
msgTestStart4;	"Jūsu vērtējums tiek parādīts testa beigās. Pamēģiniet, lūdzu, sasniegt @{res_mastery_percent}% mērķi."
capTestOk;	Jūs esat izturējis/usi pārbaudījumu.
capTestFailed;	Jūs neesat izturējis/usi pārbaudījumu.
msgTestFailed1;	"Mēs iesakām Jums pārskatīt šī kursa saturu vēlreiz un pēc tam atkārtoti pārbaudīt Jūsu zināšanas testa režīmā, jo Jūs esat sasniedzis/sasniegusi mazāk par @{res_mastery_percent}% no iespējamajiem punktiem. "
msgTestFinished2;	"Šis tests ir paredzēts tikai  Jūsu pašnovērtēšanai, dati netiek saglabāti vai nosūtīti. "
msgTestOk1;	Apsveicam! Jūs esat veiksmīgi izpildījis/usi šo uzdevumu.
msgTestResult;	Rezultāts
msgTestScore;	Saņemto punktu skaits
msgTestScoreValue;	 @{res_collected_points} no @{res_possible_points}

capPracticeStart;	Vingrināšanas režīms
msgPracticeStart1;	"Vingrināšanas režīmā Jūs varat izmēģināt iemācīto, patstāvīgi izpildot uzdevumu aplikācijā. "
msgPracticeStart2;	Vienkārši sekojiet pamācībai soli pa solim.
msgPracticeStop;	Vingrināšanas režīms tika pabeigts


# eof	
# New messages added after 6.1.0 beta 2
TIP_HELPBUBBLE;	"Yes, show help"
TIP_GOONBUBBLE;	"Go on to next step"
TOK_LIB_VAL_NOFILTER; no filter
EXER_HINT_DRAG_MARKED;	"@{NEWLINE}@{BULLET} Drag (Elements are @{EXER_COLOR_DRAG})"
EXER_HINT_DROP_MARKED;	"@{NEWLINE}@{BULLET} Drop (Elements are @{EXER_COLOR_DROP})"
EXER_OR;	@{NEWLINE}or@{NEWLINE}
EXER_AND;	@{NEWLINE}and@{NEWLINE}
TOK_CLOSE_TASK;	"Close @{TIP_TASK}"

EXER_FAILCHANGE;	"You changed the wrong field!@{NEWLINE}"
EXER_FAILCHANGE_NOMARK_HELP;	"All permitted input fields were @{EXER_COLOR_CHANGE}."
EXER_FAILCHANGE0_NOMARK_HELP;	"No permitted input fields."

EXER_FAILCLICK;	"You clicked the wrong button!@{NEWLINE}"
EXER_FAILCLICK_NOMARK_HELP;	"All valid buttons were @{EXER_COLOR_CLICK}."
EXER_FAILCLICK0_NOMARK_HELP;	"No valid click possible."

EXER_FAILDRAG;	"You dragged a wrong area.@{NEWLINE}"
EXER_FAILDRAG_HELP;	"The dragged area is @{EXER_COLOR_ERROR}.@{NEWLINE}All areas which can be dragged are @{EXER_COLOR_DRAG}."
EXER_FAILDRAG_NOMARK_HELP;	"All valid areas are @{EXER_COLOR_DRAG}."
EXER_FAILDRAG0_HELP;	"A drag operation is not allowed at this point.@{NEWLINE}The dragged area is @{EXER_COLOR_ERROR}."
EXER_FAILDRAG0_NOMARK_HELP;	"No valid drag operation possible."

EXER_FAILDROP;	"You dropped on a wrong area.@{NEWLINE}"
EXER_FAILDROP_HELP;	"The area where you dropped is @{EXER_COLOR_ERROR}.@{NEWLINE}All areas where you can drop are @{EXER_COLOR_DROP}."
EXER_FAILDROP_NODRAG_HELP;	"@{NEWLINE} (If there are no disponible drag areas, you can click on the drop elements)."
EXER_FAILDROP_NOMARK_HELP;	"All valid areas are @{EXER_COLOR_DROP}."
EXER_FAILDROP0_HELP;	"A drop operation is not allowed at this point.@{NEWLINE}The area where you dropped is @{EXER_COLOR_ERROR}."
EXER_FAILDROP0_NOMARK_HELP;	"No valid drop operation posibble."

EXER_FAILDBLCLICK;	"You double-clicked the wrong area!@{NEWLINE}"
EXER_FAILDBLCLICK_NOMARK_HELP;	"All buttons valid for double-click were @{EXER_COLOR_DBLCLICK}."
EXER_FAILDBLCLICK0_NOMARK_HELP;	"No valid doubleclick possible."

EXER_FAILRCLICK;	"You right-clicked the wrong area!@{NEWLINE}"
EXER_FAILRCLICK_NOMARK_HELP;	"All buttons valid for right-click were @{EXER_COLOR_RCLICK}."
EXER_FAILRCLICK0_NOMARK_HELP;	"No valid right-click possible."

MSG_WILLAUTOCLOSE;  "The lesson will be closed automatically in @1 sec. because of inactivity. To avoid this, please, move the mouse pointer over the window."

quizScoreReached;   "Your Score: "
quizScorePass;  "Passing Score: "
quizScoreMax;   "Maximum Score: "
quizItemName;   Item name
quizSolutions;  Solutions
quizResult; Result
quizPoints; Points

TOK_OK;	"O.K."

EXER_HINT_MCLICK_MARKED;    "@{NEWLINE}@{BULLET} Middle-click (@{EXER_COLOR_MCLICK})"
EXER_COLOR_MCLICK; marked orange
EXER_FAILMCLICK;    "You middle-clicked a wrong area.@{NEWLINE}"
EXER_FAILMCLICK_HELP;   The middle-clicked area is @{EXER_COLOR_ERROR}.@{NEWLINE}All buttons which are allowed to be middle-clicked are @{EXER_COLOR_MCLICK}.
EXER_FAILMCLICK_NOMARK_HELP;    "All valid middle-click buttons are @{EXER_COLOR_MCLICK}."
EXER_FAILMCLICK0_HELP;  Middle-clicks are not allowed at this point.@{NEWLINE}The clicked area is @{EXER_COLOR_ERROR}.
EXER_FAILMCLICK0_NOMARK_HELP;   "Middle-click is not valid."

# New messages end
# final eof
